symbol,population,count,losers,winners,avg_pnl,total_pnl,fwd_24bar_short_return_avg,fwd_24bar_short_return_median,fwd_24bar_mfe_atr_avg,fwd_24bar_mfe_atr_median,fwd_24bar_mae_atr_avg,fwd_24bar_mae_atr_median,mfe_minus_mae_atr_avg,mfe_minus_mae_atr_median,mae_to_mfe_ratio_avg,mae_to_mfe_ratio_median,entry_exec_distance_atr_avg,entry_exec_distance_atr_median,entry_short_ema20_gap_atr_avg,entry_short_ema20_gap_atr_median,entry_atr_ratio_avg,entry_atr_ratio_median,entry_adx_avg,entry_adx_median,entry_plus_di_avg,entry_plus_di_median,entry_minus_di_avg,entry_minus_di_median,entry_di_spread_avg,entry_di_spread_median,executed_count,blocked_count
ATOMUSDT,starter_short_adverse,38,,,,,-0.05691420048574533,-0.052000501968244045,1.519502415269822,1.6218361565530253,4.855875211656223,4.257553826010808,-3.336372796386401,-2.5224447314139575,13.377258815310437,2.7168500028205615,1.2839697067234428,1.3367201449968609,0.41642737252962875,0.43993280745115304,0.9971483742695918,0.9829064412556997,25.6115272335265,26.401994286534336,16.385871071833233,16.821002708859197,23.134252364155326,23.157538179301632,-6.748381292322097,-7.099645227909202,11.0,27.0
UNIUSDT,executed_short1_followthrough,7,3.0,4.0,51.08402053580489,357.58814375063423,0.0830731235624895,0.06827123351076139,9.167610766195818,5.302349830552022,1.0369274487047277,0.5804542906027403,8.130683317491089,4.918121581961293,0.21034060918364847,0.11373607829902117,1.0520260063543236,1.0126474993977808,0.40443420013929327,0.39613792510929724,0.9911277528588683,0.966249980897635,21.573745397377966,20.599708884842617,18.574614823120395,19.34993143426865,22.792778996163438,23.11559764044875,-4.218164173043041,-4.087679342048528,,
UNIUSDT,executed_short1_adverse,9,7.0,2.0,-53.99320192385122,-485.9388173146609,-0.030499874823912983,-0.05365853658536586,1.0386131387208697,0.8179244256638633,3.2272332748379418,2.510990626453583,-2.1886201361170725,-1.7151465595761561,5.4164628672075406,2.7499999999999964,1.3276131870037835,1.4018055965642235,0.39654301451853186,0.32722737697298404,1.0428900892646351,1.0291615826194627,26.342065256461634,27.812611135898972,17.749788411697093,17.06543845062486,24.043828010884553,23.408158294656687,-6.294039599187463,-6.232355424776081,,
UNIUSDT,starter_short_followthrough,19,,,,,0.08016797933480214,0.04708664803268102,6.0615072317054715,4.55973822186214,1.2290175333366924,0.6587309681230626,4.83248969836878,3.8149588661033995,0.3161382617671169,0.19064368624692235,1.1545430463225779,1.190207279434876,0.379620430496656,0.3569538659493279,1.024629450308401,0.9985560743710243,22.141687371660808,21.176221143761897,17.358496525054676,18.135164113442066,24.122461857747748,23.857844586472755,-6.7639653326930675,-6.685598968476896,7.0,12.0
UNIUSDT,starter_short_adverse,23,,,,,-0.05035866111376271,-0.053246239113222515,1.155100658668474,0.980083748329234,3.5552014318021548,2.69523030790539,-2.4001007731336808,-1.763872943562227,4.50908793997662,2.3495762711864394,1.353237116365417,1.408081703309204,0.35371685788778284,0.32347530999897306,1.0231452925040319,1.01982562256584,28.083669656398417,25.279230335303854,17.407622492518747,17.232710971815756,25.262301683410872,24.16741619324245,-7.854679190892137,-6.232355424776081,9.0,14.0
ADAUSDT,executed_short1_followthrough,6,2.0,4.0,21.880835395287264,131.28501237172358,0.06367499809849747,0.0529682420986769,7.109079171819374,5.479164434554589,0.6145287038339696,0.6250958763303959,6.4945504679854045,4.904685805752528,0.14640573351061106,0.10464973622868326,1.1312122074076874,1.1061001782931026,0.5045251528297333,0.5196434975178018,0.9984487527913309,0.9847729905375837,21.336105439199045,20.574998739658454,17.287140854347104,17.240564391095827,22.579186600096538,22.27094191017787,-5.2920457457494345,-5.7544215692882545,,
ADAUSDT,executed_short1_adverse,7,7.0,0.0,-107.65852272890773,-753.609659102354,-0.04691185339969041,-0.06314511232544037,1.532230271182647,1.099097186500586,2.6427089395514827,2.7824126191315286,-1.110478668368836,-1.3462714329986185,8.268156063706678,2.6885245901639414,1.2203998760185129,1.2406979230246995,0.41583790000198695,0.4367885678608452,0.9902702529233619,0.990351788037157,26.307016209811742,26.719119858925,16.722043410802254,16.21690782062671,23.656746587822116,24.881080196173667,-6.9347031770198635,-6.190752502676904,,
ADAUSDT,starter_short_followthrough,10,,,,,0.05315744837373214,0.04916659613118301,5.5530726029212785,4.033204878637077,0.5170159779721626,0.4988146593444629,5.036056624949116,3.5884728682386697,0.13430652311506847,0.10951283739302252,1.1097298319659776,1.120319588617339,0.5283203604792597,0.5196434975178018,0.99449133900088,0.9982225410338862,22.024742645347153,21.648246137874608,16.91148860259974,17.045110781305624,22.167772629260018,22.27094191017787,-5.256284026660277,-5.387214769137326,6.0,4.0
ADAUSDT,starter_short_adverse,26,,,,,-0.03900226450439759,-0.034016761487510726,1.1468775931483195,0.8902986353198095,3.466519102238656,2.778207148601549,-2.319641509090336,-2.2223046440465772,13.376330646119126,4.059565727699552,1.076878064886249,1.0527277650960518,0.3617195637412092,0.3617252154301599,1.0185467762304923,0.9938762101755265,26.438650899101237,25.272351826884275,15.454744850299942,15.413741740218061,21.543841872368315,20.35779965960875,-6.089097022068377,-5.896228415096858,7.0,19.0
XRPUSDT,executed_short1_followthrough,5,4.0,1.0,-14.405659441314436,-72.02829720657218,0.0141786141464639,0.01446124763705116,2.7726820512156207,2.0561302989759205,0.7799414501924247,0.39035951134021163,1.9927406010231963,1.8401719593979453,0.3179792130549113,0.28783783783783246,0.8975027705893035,0.9162380443198382,0.37228313463359947,0.32735358927814956,1.0116841842815856,0.9819259879566603,25.828901264948094,28.759487977963175,16.505112853735028,17.36296763002637,26.470066206369218,25.5383193903074,-9.964953352634188,-9.882400102689726,,
XRPUSDT,executed_short1_adverse,8,7.0,1.0,-56.67511310991753,-453.40090487934026,-0.08043140947008424,-0.026292421845455022,1.0808430804405722,1.0695010244258096,10.500847974196512,2.4334518392820383,-9.420004893755939,-1.503850284985616,59.301556137084255,2.6887668708601034,1.0847622781269277,1.0665937996873949,0.36995899075262945,0.37548024134004604,1.0390110949937683,0.984449359292789,27.075351221877916,23.85662040219866,17.12436053700715,16.867595608418142,22.988591658700706,23.23474017746809,-5.864231121693555,-4.465977122582785,,
XRPUSDT,starter_short_followthrough,15,,,,,0.03182835886637855,0.018569924380204994,3.847065569513611,4.255581280853334,0.7331536989317873,0.48475446024386254,3.1139118705818243,2.4795216866779883,0.2720852026048245,0.26425855513307955,1.1163815115426208,1.2114141754022927,0.4500170381472496,0.4273247269463616,1.0444383330875968,0.9819259879566603,24.855559654109463,21.421771053513353,16.101723449381133,15.759103943488014,23.837571161799016,23.100213163032713,-7.735847712417885,-7.875971055425669,5.0,10.0
XRPUSDT,starter_short_adverse,19,,,,,-0.04745812170337436,-0.0251609128145114,1.1345950203732147,1.0682520665804787,6.4502954992809345,3.141641378808382,-5.3157004789077185,-2.656850743028465,31.704069927998706,2.742268041237124,1.0265033014913179,0.9951342143180602,0.3728174724442815,0.31980994761656945,1.0057385285851008,0.9820463426296325,25.308092764997728,23.02031576949252,17.005428359429832,16.89130594786612,23.395201598041456,23.647293450953956,-6.389773238611621,-5.10234621288021,8.0,11.0
LTCUSDT,executed_short1_followthrough,3,1.0,2.0,-14.476342886238735,-43.429028658716206,0.0261098525139053,0.026697530864197485,4.418418629183283,4.209436931960474,1.3126846039908615,1.689053063607958,3.105734025192422,2.5203838683525164,0.3163662328545486,0.40125391849529624,0.9859547116273406,1.1785942557475984,0.3294267044850639,0.23442741122473476,0.9781093479608286,0.9406241531229792,25.483402301723274,28.265787869910767,15.073324339291531,14.092946770557994,23.240137432148703,24.264694365898237,-8.166813092857174,-11.19380134973304,,
LTCUSDT,executed_short1_adverse,9,8.0,1.0,-57.386252597063084,-516.4762733735678,-0.04218988381529035,-0.02798327436474754,1.0398834013172649,0.8699946993998422,4.406166241045943,2.7887615119767633,-3.3662828397286786,-1.2816435884829394,11.731337792629416,2.328467153284662,1.1956324681107973,1.1240230116582934,0.4105983006837923,0.4897190790691551,1.0398577340754465,1.03655458827157,29.279911167160478,25.876161626973442,15.973405831353741,16.624996340570288,25.606596538921888,24.67723338978751,-9.633190707568144,-10.64020630843195,,
LTCUSDT,starter_short_followthrough,9,,,,,0.023109442300350592,0.026697530864197485,4.204566010913209,4.209436931960474,1.4026098712157338,1.6323074769860222,2.8019561396974755,2.5203838683525164,0.3827738686339555,0.4076923076923069,1.2498195988106835,1.2549830395193502,0.46182231153783143,0.4510729217760267,0.9999378884566335,1.0237632150749953,27.500574026269472,27.318663438987727,14.00681796413983,13.070893016165197,25.06415882590289,24.264694365898237,-11.057340861763063,-11.50373779076297,3.0,6.0
LTCUSDT,starter_short_adverse,25,,,,,-0.040159499212165196,-0.0382189948404357,1.0290482681078785,0.8355431122629766,3.578050926990407,2.7887615119767633,-2.549002658882529,-1.981926990072443,7.852630141237902,3.9174311926605667,1.1827576046332633,1.15431678496516,0.37982495173559605,0.3530421030643403,1.0464284365050516,1.021438896321214,27.67819332122501,26.982302469588372,16.4778303435945,16.297483698036356,24.3950256310794,24.22822970473501,-7.917195287484898,-7.615312804918339,9.0,16.0
DOGEUSDT,executed_short1_followthrough,3,1.0,2.0,7.542023648915385,22.626070946746154,0.03773442302129811,0.028912633563796374,4.746264979778002,1.9422611552853284,1.7338595694064296,1.3559181650105103,3.012405410371573,0.5863429902748181,0.6378598008037323,0.6981132075471688,1.06803104754686,0.9872125179795396,0.46436955868843904,0.5101953493345212,0.9751662137300537,0.9655107926035366,23.96430114747385,26.668218457558233,14.896943291388226,14.442663137949223,22.062638331644816,20.425427604822605,-7.16569504025659,-6.229487420474474,,
DOGEUSDT,executed_short1_adverse,8,6.0,2.0,-66.18967961591568,-529.5174369273254,-0.07015211331227228,-0.06587120623722062,0.5790186064491456,0.316634614587655,8.95298950419344,9.257398201377004,-8.373970897744293,-8.944430990103172,95.79147462281522,21.965809117568583,1.098325074992942,1.3456838670091429,0.4067356103189383,0.4139210212701035,0.9957777898919089,1.0132681418413414,24.405461521676653,19.65518446804436,15.866625143926019,16.147663123689544,21.829850024804813,21.851200645648042,-5.963224880878798,-5.749243577725149,,
DOGEUSDT,starter_short_followthrough,18,,,,,0.041984488411688475,0.027818122761153856,4.596973875615206,2.712258855034424,1.3204383529139099,1.3403045574746315,3.2765355227012973,1.9937028833281778,0.38225419241165204,0.2897704772966079,0.9965158369749463,1.0088039771012596,0.5157862104866817,0.5321386493515332,1.0343585727134674,0.9607640511645139,21.65453494546628,19.120666478394583,15.175329857856699,14.618892719273525,22.89644105888316,20.71536705977881,-7.72111120102646,-6.279297378684496,3.0,15.0
DOGEUSDT,starter_short_adverse,38,,,,,-0.03154789931101688,-0.01526448904965203,1.0369081008803562,0.9100907521848267,4.639059442785803,3.0834160295124673,-3.6021513419054467,-1.7704444756544464,24.563406081415437,2.1408450704225257,1.1074463744607954,1.0994316091330294,0.45549442477279345,0.4737871371301866,1.0142639528677684,1.0011010609746702,26.96784133493872,25.047114766998924,15.82780131580622,16.15499946281651,21.51420965426478,21.706727266336546,-5.686408338458561,-5.514341949956328,8.0,30.0
NEARUSDT,executed_short1_followthrough,7,3.0,4.0,64.07040337972403,448.49282365806823,0.0508547369013731,0.024426350851221256,4.06859750722001,2.4989871792530605,1.1764473127977542,0.9273916228885175,2.8921501944222547,0.5216577878747977,0.5068869462206078,0.6399999999999971,1.191204871782723,1.2171834346076527,0.417158496076296,0.3888556665220594,0.9645644828926122,0.9640335260665783,25.462611234405507,26.772753564207612,16.8134031082893,16.381652638967477,23.665706112539063,23.702354364717294,-6.852303004249762,-6.0676162909278695,,
NEARUSDT,executed_short1_adverse,4,4.0,0.0,-100.8426570648366,-403.3706282593464,-0.02128748020226861,-0.023478842189298216,1.131588961810389,1.1854287553994018,2.6068399679296324,2.588256840894627,-1.4752510061192434,-1.777148378070505,7.880483389324365,2.5357894736842193,1.4536765915775156,1.46369271955356,0.3911719767348034,0.4117905808536727,0.9816270678601182,0.9868808731515037,26.03294839677598,22.183996008068952,19.103126617854656,19.068802577876728,22.49156111812326,22.377158749326078,-3.388434500268605,-3.1659646929618157,,
NEARUSDT,starter_short_followthrough,15,,,,,0.0735629734576724,0.06481481481481487,5.460047423142927,5.195158900131333,0.8934345578112478,0.778464064721631,4.566612865331679,3.858540348155797,0.3045208355288113,0.1141732283464581,1.265208983973094,1.2987998997436159,0.4370391060703388,0.3888556665220594,0.9623633581802975,0.9640335260665783,24.62210920745864,23.232587304744452,17.047045981231157,16.381652638967477,23.173617413768614,23.041413875598504,-6.126571432537463,-4.976685500449623,7.0,8.0
NEARUSDT,starter_short_adverse,13,,,,,-0.04444068557385725,-0.026627218934911157,1.0190023119949998,0.8831948970178242,4.23191825352987,3.871469905922732,-3.2129159415348707,-3.1240384669520793,8.467177778847285,7.391304347826113,1.1363034870012596,1.2120661289986894,0.4539047062939815,0.5148655871421335,0.9780759872793785,0.9578750173345002,24.173779941375212,21.549733269327174,18.972909985528524,18.73621539800278,21.942209024246885,22.017550113342168,-2.969299038718358,-2.3683526834733932,4.0,9.0
ETCUSDT,executed_short1_followthrough,4,1.0,3.0,56.42936313249949,225.71745252999796,0.02205565610589258,0.018441826531916027,2.362148472682125,2.1553398344764942,0.5742606524108134,0.5792142170484493,1.7878878202713118,1.5489856734329857,0.29826900856036165,0.28598484848484884,1.0986372073820823,1.092251772952685,0.6080396308828875,0.6418574451661074,0.9736728010244762,0.9653132223276253,21.534535254703098,20.639051347248646,17.942401545845076,18.060432943979297,25.222336637460778,26.692820277763186,-7.279935091615696,-8.868450130052329,,
ETCUSDT,executed_short1_adverse,6,5.0,1.0,-71.36887144847974,-428.2132286908784,-0.06444462651395269,-0.02946214336595062,0.8415184655503857,0.5606577770781297,5.845419718758756,4.401443398270308,-5.003901253208371,-3.9899172460098864,25.10170401493963,11.370588235293969,1.2474860963663559,1.2053968273355933,0.46344951246465044,0.496790422110743,1.0188286483208422,1.0276775384899777,25.620539812300922,24.743867071033687,18.509809040096734,18.378109081838666,24.530074320955645,24.695084221844525,-6.020265280858912,-5.369699783113585,,
ETCUSDT,starter_short_followthrough,11,,,,,0.02662369160054483,0.02444794952681392,3.8548677188981486,4.256719351217318,0.7107836334389698,0.5022922720122651,3.1440840854591796,3.334626188943721,0.2181147062863771,0.2189054726368166,1.0781168507870689,1.1162804440170782,0.46204094094778725,0.4577378003945409,1.0142205881710906,0.9911498363397414,21.692577412360485,19.912159987641413,17.44518547036027,16.298264816813685,24.44135597168305,25.167019374957558,-6.996170501322779,-7.380988860186072,4.0,7.0
ETCUSDT,starter_short_adverse,18,,,,,-0.04621760135083985,-0.04064138031450205,1.0445862923360263,0.5981252986450335,4.953002113658348,4.155582063643549,-3.90841582132232,-3.4878001788469213,36.04262810537381,7.222222222222227,1.0451183138704707,1.1292169408726045,0.37123854557624036,0.424302247957776,1.0322293397946056,0.9989878911552196,24.60070577051609,22.327664927741235,17.039319513971254,17.1977970448034,22.619303451440814,23.34927273306599,-5.579983937469557,-4.670721278689305,6.0,12.0
AAVEUSDT,executed_short1_followthrough,2,2.0,0.0,-67.76858094342637,-135.53716188685274,0.05771619584635999,0.05771619584635999,5.814964466928096,5.814964466928096,1.2158930705710114,1.2158930705710114,4.599071396357085,4.599071396357085,0.25987702366127075,0.25987702366127075,0.964293447893221,0.964293447893221,0.4689325409379703,0.4689325409379703,0.9662702458983741,0.9662702458983741,23.65476735831127,23.65476735831127,16.274922446330244,16.274922446330244,20.091908397915972,20.091908397915972,-3.8169859515857274,-3.8169859515857274,,
AAVEUSDT,executed_short1_adverse,8,7.0,1.0,-113.9300627180158,-911.4405017441264,-0.06802463027420849,-0.05740658302981252,1.5722811498524742,1.2076205168557168,3.998194464127306,4.196285564124469,-2.425913314274832,-2.9886650472687526,8.491832366717889,3.474803616422105,1.3517290749048225,1.4516735663772038,0.3595381629810797,0.35855091200146716,0.9963435584701462,0.9373358840671759,30.083276764459395,25.114723568210376,17.93640212414583,17.714144812481983,24.624228600743407,24.642622630204343,-6.687826476597582,-4.665874400608414,,
AAVEUSDT,starter_short_followthrough,7,,,,,0.034297477733776616,0.029874213836477963,4.645168142023957,4.87501707229793,0.8267056166620828,0.7302644556867323,3.8184625253618747,4.428382846424564,0.22274325608036172,0.1594202898550727,1.153124743704525,1.15135133100435,0.44404755969149706,0.40451171227459476,0.9708758685267348,0.9570937051454614,23.51687779518679,24.450451286629914,16.650925424840484,16.723349955997577,22.78953053031096,21.066301400901654,-6.138605105470471,-6.572573982068635,2.0,5.0
AAVEUSDT,starter_short_adverse,15,,,,,-0.07745547738318363,-0.06523809523809529,1.178148510711084,0.8507287352024272,5.092766638817898,4.442694506057094,-3.9146181281068135,-3.5919657708546673,24.593203033836364,5.222222222222192,1.3463720606256333,1.3693204997101265,0.37104698726467983,0.35484589729374827,1.0250037549124345,0.9535081983222604,30.282983347689658,26.157187880007253,18.004167879859814,17.780017345047405,24.4360206398765,24.08334055853281,-6.4318527600166835,-5.086137567972411,8.0,7.0
