scope,candidate,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
later_fetched,I_defensive_short_only,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,J_long_short_regime_switch,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,J_long_short_regime_switch,large_alts,3,-13.269553,0.763784,0.056176,33.333333,-4.423184,-20.900914,42.906047,56.1756,3.005132,3.666667,2.0,1,1,0,0
later_fetched,J_long_short_regime_switch,majors,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,J_long_short_regime_switch,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,J_long_short_regime_switch,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,K_liquidation_wick_bounce,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,K_liquidation_wick_bounce,large_alts,1,-25.884756,0.0,0.0,0.0,-25.884756,-25.884756,0.0,25.884756,0.987551,4.0,4.0,1,0,0,0
later_fetched,K_liquidation_wick_bounce,majors,1,-9.542571,0.0,0.0,0.0,-9.542571,-9.542571,0.0,9.542571,0.995727,2.0,2.0,1,0,0,0
later_fetched,K_liquidation_wick_bounce,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,K_liquidation_wick_bounce,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,L_breakout_failure_reversal,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,L_breakout_failure_reversal,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,L_breakout_failure_reversal,majors,7,-24.297712,0.216069,0.016371,28.571429,-3.471102,-0.173104,6.697014,30.994726,7.008645,1.0,1.0,2,0,0,0
later_fetched,L_breakout_failure_reversal,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,L_breakout_failure_reversal,other,4,-9.411857,0.455605,0.017289,75.0,-2.352964,2.252543,7.876809,17.288666,4.002705,1.0,1.0,0,0,0,0
