field,display_field,symbol,contradiction_class,executed_supports,starter_supports,executed_delta_clean_minus_adverse,starter_delta_clean_minus_adverse,executed_clean_count,executed_adverse_dominant_count,starter_clean_count,starter_adverse_dominant_count,sample_too_small_to_interpret
entry_exec_bear_structure,entry_exec_bear_structure,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_exec_bear_structure,entry_exec_bear_structure,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_exec_bear_structure,entry_exec_bear_structure,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_exec_bear_structure,entry_exec_bear_structure,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_exec_bear_structure,entry_exec_bear_structure,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_exec_bear_structure,entry_exec_bear_structure,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_exec_slope_down,entry_exec_slope_down,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_exec_slope_down,entry_exec_slope_down,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_exec_slope_down,entry_exec_slope_down,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_exec_slope_down,entry_exec_slope_down,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_exec_slope_down,entry_exec_slope_down,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_exec_slope_down,entry_exec_slope_down,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_exec_slope_down,entry_exec_slope_down,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_exec_slope_down,entry_exec_slope_down,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_exec_slope_down,entry_exec_slope_down,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_exec_slope_down,entry_exec_slope_down,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_exec_slope_down,entry_exec_slope_down,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_exec_adx_pass,entry_exec_adx_pass,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_exec_adx_pass,entry_exec_adx_pass,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_exec_adx_pass,entry_exec_adx_pass,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_exec_adx_pass,entry_exec_adx_pass,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_exec_adx_pass,entry_exec_adx_pass,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_exec_adx_pass,entry_exec_adx_pass,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_exec_adx_pass,entry_exec_adx_pass,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_exec_adx_pass,entry_exec_adx_pass,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_exec_adx_pass,entry_exec_adx_pass,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_exec_adx_pass,entry_exec_adx_pass,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_exec_adx_pass,entry_exec_adx_pass,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_exec_atr_pass,entry_exec_atr_pass,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_exec_atr_pass,entry_exec_atr_pass,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_exec_atr_pass,entry_exec_atr_pass,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_exec_atr_pass,entry_exec_atr_pass,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_exec_atr_pass,entry_exec_atr_pass,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_exec_atr_pass,entry_exec_atr_pass,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_exec_atr_pass,entry_exec_atr_pass,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_exec_atr_pass,entry_exec_atr_pass,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_exec_atr_pass,entry_exec_atr_pass,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_exec_atr_pass,entry_exec_atr_pass,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_exec_atr_pass,entry_exec_atr_pass,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_exec_distance_pass,entry_exec_distance_pass,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_exec_distance_pass,entry_exec_distance_pass,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_exec_distance_pass,entry_exec_distance_pass,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_exec_distance_pass,entry_exec_distance_pass,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_exec_distance_pass,entry_exec_distance_pass,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_exec_distance_pass,entry_exec_distance_pass,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_exec_distance_pass,entry_exec_distance_pass,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_exec_distance_pass,entry_exec_distance_pass,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_exec_distance_pass,entry_exec_distance_pass,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_exec_distance_pass,entry_exec_distance_pass,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_exec_distance_pass,entry_exec_distance_pass,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_short_distance_cap_pass,entry_short_distance_cap_pass,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_short_distance_cap_pass,entry_short_distance_cap_pass,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_short_distance_cap_pass,entry_short_distance_cap_pass,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_exec_bear_momentum,entry_exec_bear_momentum,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_exec_bear_momentum,entry_exec_bear_momentum,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_exec_bear_momentum,entry_exec_bear_momentum,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_exec_bear_momentum,entry_exec_bear_momentum,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_exec_bear_momentum,entry_exec_bear_momentum,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_exec_bear_momentum,entry_exec_bear_momentum,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_exec_bear_momentum,entry_exec_bear_momentum,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_exec_bear_momentum,entry_exec_bear_momentum,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_exec_bear_momentum,entry_exec_bear_momentum,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_exec_bear_momentum,entry_exec_bear_momentum,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_exec_bear_momentum,entry_exec_bear_momentum,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_short_squeeze_risk,entry_short_squeeze_risk,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_short_squeeze_risk,entry_short_squeeze_risk,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_short_squeeze_risk,entry_short_squeeze_risk,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_short_squeeze_risk,entry_short_squeeze_risk,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_short_squeeze_risk,entry_short_squeeze_risk,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_short_squeeze_risk,entry_short_squeeze_risk,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_short_squeeze_risk,entry_short_squeeze_risk,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_short_squeeze_risk,entry_short_squeeze_risk,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_short_squeeze_risk,entry_short_squeeze_risk,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_short_squeeze_risk,entry_short_squeeze_risk,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_short_squeeze_risk,entry_short_squeeze_risk,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_short_squeeze_pass,entry_short_squeeze_pass,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_short_squeeze_pass,entry_short_squeeze_pass,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_short_squeeze_pass,entry_short_squeeze_pass,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_short_squeeze_pass,entry_short_squeeze_pass,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_short_squeeze_pass,entry_short_squeeze_pass,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_short_squeeze_pass,entry_short_squeeze_pass,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_short_squeeze_pass,entry_short_squeeze_pass,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_short_squeeze_pass,entry_short_squeeze_pass,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_short_squeeze_pass,entry_short_squeeze_pass,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_short_squeeze_pass,entry_short_squeeze_pass,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_short_squeeze_pass,entry_short_squeeze_pass,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
