market,timestamp,bar_index,position_side_before_manage,position_side_after_manage,runtime_close,avg_entry,atr_unscaled,runtime_price_scale,runtime_add_on_profit_distance,profit_threshold_price,runtime_in_profit,len_trades,len_trades_lt_2_pass,add_on_gap_bars_pass,all_long2_gates_passed,add_long_signal,bars_since_long1_entry,active_long_entry_timestamp,position_size
AVAXUSDT,2021-04-14T12:00:00+00:00,1155,long,long,3.71387e-07,3.29075e-07,1.8107722270446007,1e-08,1.4486177816356807e-08,3.435611778163568e-07,True,1,True,True,True,True,7,2021-04-13T08:00:00+00:00,1517709820.0
AVAXUSDT,2024-11-25T04:00:00+00:00,9079,long,long,4.4979999999999996e-07,4.0189999999999997e-07,2.0019959972376404,1e-08,1.6015967977901124e-08,4.179159679779011e-07,True,1,True,True,True,True,3,2024-11-24T16:00:00+00:00,2485173377.0
AVAXUSDT,2021-03-19T08:00:00+00:00,998,long,long,3.71233e-07,3.3293e-07,2.0191652052242075,1e-08,1.615332164179366e-08,3.4908332164179366e-07,True,1,True,True,True,True,2,2021-03-19T00:00:00+00:00,2998185407.0
AVAXUSDT,2021-10-25T12:00:00+00:00,2319,long,long,6.794e-07,6.453e-07,2.0950620184524777,1e-08,1.6760496147619825e-08,6.620604961476198e-07,True,1,True,True,True,True,4,2021-10-24T20:00:00+00:00,1547543158.0
AVAXUSDT,2021-11-13T16:00:00+00:00,2434,long,long,9.632e-07,9.247e-07,3.579951396634976,1e-08,2.863961117307981e-08,9.533396111730798e-07,True,1,True,True,True,True,1,2021-11-13T12:00:00+00:00,1079845411.0
AVAXUSDT,2022-04-02T08:00:00+00:00,3272,long,long,1.0163e-06,9.667e-07,3.665825834736175,1e-08,2.9326606677889403e-08,9.960266066778894e-07,True,1,True,True,True,True,5,2022-04-01T12:00:00+00:00,1034470531.0
AVAXUSDT,2024-03-16T04:00:00+00:00,7555,long,long,6.065e-07,5.543e-07,3.66625318200702,1e-08,2.933002545605616e-08,5.836300254560562e-07,True,1,True,True,True,True,4,2024-03-15T12:00:00+00:00,1802585361.0
AVAXUSDT,2024-03-18T08:00:00+00:00,7568,long,long,6.381000000000001e-07,5.560000000000001e-07,3.763988521759337,1e-08,3.0111908174074696e-08,5.861119081740748e-07,True,1,True,True,True,True,6,2024-03-17T08:00:00+00:00,898982935.0
AVAXUSDT,2021-08-27T20:00:00+00:00,1967,long,long,5.014e-07,4.681e-07,3.9606261504668336,1e-08,3.168500920373467e-08,4.997850092037347e-07,True,1,True,True,True,True,4,2021-08-27T04:00:00+00:00,2137498935.0
AVAXUSDT,2021-11-17T12:00:00+00:00,2457,long,long,1.0422e-06,9.784e-07,5.23777224522678,1e-08,4.1902177961814243e-08,1.0203021779618143e-06,True,1,True,True,True,True,4,2021-11-16T20:00:00+00:00,1020868366.0
AVAXUSDT,2021-11-19T20:00:00+00:00,2471,long,long,1.1193e-06,1.0063e-06,5.664180191982234,1e-08,4.531344153585787e-08,1.0516134415358578e-06,True,1,True,True,True,True,6,2021-11-18T20:00:00+00:00,496584695.0
AVAXUSDT,2024-11-30T04:00:00+00:00,9109,long,long,4.5409999999999997e-07,4.376130656257245e-07,1.4975593957607714,1e-08,1.198047516608617e-08,4.4959354079181066e-07,True,2,False,False,False,True,20,2024-11-26T20:00:00+00:00,2277696088.0
AVAXUSDT,2021-04-15T00:00:00+00:00,1158,long,long,3.9976e-07,3.48904430290471e-07,2.0320177051082324,1e-08,1.625614164086586e-08,3.6516057193133684e-07,True,2,False,True,False,True,10,2021-04-13T08:00:00+00:00,2856316637.0
AVAXUSDT,2024-11-25T08:00:00+00:00,9080,long,long,4.553e-07,4.2445029238271656e-07,2.1089962831492377,1e-08,1.6871970265193903e-08,4.4132226264791047e-07,True,2,False,False,False,True,4,2024-11-24T16:00:00+00:00,2347952225.0
AVAXUSDT,2021-10-25T20:00:00+00:00,2321,long,long,6.973000000000001e-07,6.618706202894915e-07,2.1643646995840253,1e-08,1.7314917596672203e-08,6.791855378861637e-07,True,2,False,False,False,True,6,2021-10-24T20:00:00+00:00,1505222163.0
AVAXUSDT,2021-10-26T00:00:00+00:00,2322,long,long,7.098000000000001e-07,6.618706202894915e-07,2.264052935328024,1e-08,1.8112423482624192e-08,6.799830437721157e-07,True,2,False,True,False,True,7,2021-10-24T20:00:00+00:00,1505222163.0
