market,trade_tag,side,entry_timestamp,exit_timestamp,entry_bar,exit_bar,duration_bars,entry_price,exit_price,pnl,return_pct,exit_mechanism_label,exit_mechanism_detail,exact_close_event,matched_event_bar,matched_event_timestamp,tp1_occurred,tp2_occurred,trailing_stop_occurred,stop_assignment_occurred,stop_hit_occurred_proxy,trend_fail_occurred,add_on_interaction_occurred,add_on_entry_before_exit,latest_stop_kind,latest_stop_price,exit_to_stop_distance_pct,classification_confidence,notes
DOTUSDT,Long2,long,2021-01-02 16:00:00+00:00,2021-01-03 00:00:00+00:00,754,756,2.0,9.4343,9.2056,-12.105538755720996,-0.02424133216030866,stop_hit_proxy:long_breakeven_floor_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,755,2021-01-02 20:00:00+00:00,False,False,False,True,True,False,True,False,long_breakeven_floor_stop,9.473226426500454e-08,97174916.87431794,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-01-04 12:00:00+00:00,2021-01-06 12:00:00+00:00,765,777,12.0,9.5189,9.9067,20.341960507918017,0.04074000147075818,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,777,2021-01-06 12:00:00+00:00,True,False,False,True,False,False,False,False,long_breakeven_floor_stop,9.556834601815451e-08,103660891.05015737,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long1,long,2021-01-04 12:00:00+00:00,2021-01-07 16:00:00+00:00,765,784,19.0,9.5189,9.555297917955972,1.9092444807395834,0.003823752529806157,stop_hit_proxy:long_breakeven_floor_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,783,2021-01-07 12:00:00+00:00,True,False,False,True,True,False,False,False,long_breakeven_floor_stop,9.555297917955972e-08,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-01-19 00:00:00+00:00,2021-01-20 04:00:00+00:00,852,859,7.0,16.81,15.317831897063606,-88.66335648379936,-0.08876669261965464,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,858,2021-01-20 00:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,1.5317831897063606e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-01-20 16:00:00+00:00,2021-01-21 08:00:00+00:00,862,866,4.0,17.8221,16.105649764378743,-96.11178385825646,-0.09631021235551684,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,865,2021-01-21 04:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,1.6105649764378743e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-02-07 04:00:00+00:00,2021-02-07 16:00:00+00:00,967,970,3.0,19.9665,18.49744607884822,-73.35293313466308,-0.07357593574997023,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,969,2021-02-07 12:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,1.849744607884822e-07,99999999.00000001,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-02-08 08:00:00+00:00,2021-02-09 00:00:00+00:00,974,978,4.0,22.2563,23.2905,23.146185156652063,0.04646774171807544,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,978,2021-02-09 00:00:00+00:00,True,False,False,True,False,False,False,False,long_breakeven_floor_stop,2.2336951249482765e-07,104268928.72038572,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long1,long,2021-02-08 08:00:00+00:00,2021-02-09 16:00:00+00:00,974,982,8.0,22.2563,22.335944645121586,1.7825079306675542,0.0035785213679535577,stop_hit_proxy:long_breakeven_floor_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,981,2021-02-09 12:00:00+00:00,True,False,False,True,True,False,False,False,long_breakeven_floor_stop,2.2335944645121587e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-02-10 16:00:00+00:00,2021-02-11 04:00:00+00:00,988,991,3.0,23.1368,25.5286,51.505509653395976,0.1033764392655856,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,991,2021-02-11 04:00:00+00:00,True,False,False,True,False,False,True,True,long_breakeven_floor_stop,2.32211468349427e-07,109936860.35081448,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long2,long,2021-02-11 04:00:00+00:00,2021-02-13 08:00:00+00:00,991,1004,13.0,25.5286,27.331768471670966,35.033841973722005,0.07063326902654143,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1003,2021-02-13 04:00:00+00:00,False,True,True,True,True,False,True,False,long_trailing_stop,2.7331768471670965e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
