EntryTime,PnL,closure_family_role,replication_context,replication_group,multi_bar_support_acceptance,orderly_reset,gate_support_stability_preserved,gate_base_compact,gate_directional_preparation_present,pre_acceptance_gate_intact,acceptance_missing_layer_present,support_to_release_sequence,momentum_persistence,support_residence_missing_layer_present
2020-08-15 20:00:00+00:00,-9.60395747490415,accepted_nonintact_reference,accepted_seed_reference,accepted_nonintact_reference,True,True,True,True,False,False,False,False,False,False
2020-08-31 08:00:00+00:00,-0.0665945743658986,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2020-10-12 12:00:00+00:00,-22.12569485733232,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2020-10-25 16:00:00+00:00,12.75267976543458,accepted_nonintact_reference,accepted_seed_reference,accepted_nonintact_reference,True,True,True,True,False,False,True,True,False,False
2020-10-29 12:00:00+00:00,-3.594457725767477,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2020-11-03 12:00:00+00:00,67.17598759349858,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2020-11-09 08:00:00+00:00,-41.27661517860602,other_long1,other_long1,other_long1,False,False,True,True,True,True,False,False,False,False
2020-11-16 04:00:00+00:00,100.9571160514278,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2020-11-24 08:00:00+00:00,-5.730946598924628,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2020-12-24 20:00:00+00:00,295.44322385821266,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2021-01-05 16:00:00+00:00,111.20125041536568,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2021-02-07 04:00:00+00:00,-26.29207210459992,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2021-02-07 20:00:00+00:00,215.0133839780532,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2021-02-15 12:00:00+00:00,137.59656382356792,other_long1,other_long1,other_long1,False,False,False,False,False,False,False,False,False,False
2021-03-04 04:00:00+00:00,-49.935030145905,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2021-03-08 08:00:00+00:00,112.04916008088166,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2021-03-19 08:00:00+00:00,-32.9478863249161,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2021-04-05 12:00:00+00:00,0.9015436065732544,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2021-04-10 20:00:00+00:00,26.8138933303626,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2021-08-05 16:00:00+00:00,-12.755284290451712,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2021-08-10 16:00:00+00:00,-6.612103577011158,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2021-08-13 04:00:00+00:00,-8.915603114926437,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2021-08-22 20:00:00+00:00,-20.06635763378215,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2021-08-25 20:00:00+00:00,-22.910699313792787,other_orderly_reset_context,other_long1,other_long1,False,True,False,True,True,False,False,False,False,False
2021-09-03 00:00:00+00:00,6.753743982261261,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2021-10-04 12:00:00+00:00,159.14250286948706,other_orderly_reset_context,weak_nearby_context,weak_directional_absent_support_stable,False,True,True,True,False,False,True,False,False,True
2021-10-15 00:00:00+00:00,24.54649103757485,other_long1,other_long1,other_long1,False,False,True,True,True,True,False,False,False,False
2021-10-19 12:00:00+00:00,8.316945358176689,other_orderly_reset_context,other_long1,other_long1,False,True,True,True,True,True,False,False,False,True
2021-11-10 12:00:00+00:00,-52.33968659345383,other_long1,other_long1,other_long1,False,False,True,True,True,True,False,False,False,False
2022-03-30 00:00:00+00:00,-40.53833458326568,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2022-04-02 00:00:00+00:00,-11.420457916835629,weak_nonintact_reference,weak_nearby_context,weak_directional_present_support_unstable,False,True,False,False,True,False,True,False,True,False
2022-04-04 20:00:00+00:00,-18.74045636304954,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2023-04-18 16:00:00+00:00,-31.478762838958964,other_long1,other_long1,other_long1,False,False,False,False,False,False,False,False,False,False
2023-06-29 08:00:00+00:00,-20.88612653790397,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2023-07-11 12:00:00+00:00,-16.90353133430004,weak_nonintact_reference,weak_nearby_context,weak_directional_present_support_unstable,False,True,False,False,True,False,True,False,False,False
2023-10-31 08:00:00+00:00,-7.919425446015086,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2023-11-15 16:00:00+00:00,-30.478280387172635,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2023-11-20 16:00:00+00:00,-16.98106503729428,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2023-11-23 16:00:00+00:00,1.6614274316411275,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2023-11-30 00:00:00+00:00,111.96173292113542,accepted_completed_reference,accepted_seed_reference,accepted_completed_reference,True,True,True,True,True,True,True,True,True,False
2023-12-23 04:00:00+00:00,-14.255774629091118,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2023-12-25 12:00:00+00:00,-1.9812385285551264,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2024-02-13 16:00:00+00:00,39.13168764835786,other_long1,other_long1,other_long1,False,False,True,False,False,False,False,False,False,False
2024-02-17 20:00:00+00:00,-2.233270574698124,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2024-02-20 08:00:00+00:00,-26.558236985152178,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2024-03-06 04:00:00+00:00,-3.972223700509709,other_long1,other_long1,other_long1,False,False,False,False,True,False,False,False,False,False
2024-03-08 16:00:00+00:00,-4.820664643243818,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2024-03-11 04:00:00+00:00,3.684772590720783,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2024-03-27 20:00:00+00:00,0.8066177388346354,other_long1,other_long1,other_long1,False,False,True,False,False,False,False,False,False,False
2024-04-09 08:00:00+00:00,-26.62319506022997,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2024-04-10 20:00:00+00:00,-10.279517920931928,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2024-04-12 00:00:00+00:00,-24.21175388391353,other_orderly_reset_context,other_long1,other_long1,False,True,True,True,True,True,False,False,False,False
2024-05-20 04:00:00+00:00,17.895907925571795,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2024-06-06 20:00:00+00:00,-23.042787144631525,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2024-07-28 00:00:00+00:00,-10.493383920839902,other_long1,other_long1,other_long1,False,False,False,False,False,False,False,False,False,False
2024-09-23 00:00:00+00:00,-14.186961589560504,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2024-09-26 04:00:00+00:00,10.084921676253783,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2024-11-06 00:00:00+00:00,209.62197348626563,other_long1,other_long1,other_long1,False,False,True,True,True,True,False,False,False,False
2024-11-18 12:00:00+00:00,38.36487178737503,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2024-12-18 08:00:00+00:00,-22.3190733484472,other_long1,other_long1,other_long1,False,False,False,False,True,False,False,False,False,False
2025-01-20 04:00:00+00:00,-33.41089495715864,other_long1,other_long1,other_long1,False,False,False,False,True,False,False,False,False,False
2025-01-21 16:00:00+00:00,-27.96598794958808,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2025-04-28 16:00:00+00:00,-9.362935361156602,other_long1,other_long1,other_long1,False,False,False,False,False,False,False,False,False,False
2025-05-06 20:00:00+00:00,50.01415718707209,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2025-05-13 08:00:00+00:00,-10.529264139084884,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2025-05-15 20:00:00+00:00,-3.5010258496011644,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2025-05-18 20:00:00+00:00,7.199699008108206,other_long1,other_long1,other_long1,False,False,True,True,True,True,False,False,False,False
2025-05-24 08:00:00+00:00,-14.41569929328894,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2025-05-25 20:00:00+00:00,-2.0519591374149595,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2025-05-27 12:00:00+00:00,-12.05228345993757,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2025-07-16 04:00:00+00:00,-7.983007887934942,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2025-08-10 00:00:00+00:00,-3.083977065633845,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2025-09-16 04:00:00+00:00,-0.7035496149555155,weak_nonintact_reference,weak_nearby_context,weak_directional_present_support_unstable,False,True,False,True,True,False,True,False,True,False
2025-10-08 08:00:00+00:00,-2.218310933796568,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
