symbol,base_population,comparison,failure_bucket,clean_count,failure_count,clean_avg,failure_avg,avg_delta_clean_minus_failure,clean_median,failure_median,median_delta_clean_minus_failure,supports_higher_clean_displacement,contradicts_higher_clean_displacement,sample_too_small_to_interpret
UNIUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,7,0,0.40443420013929327,,,0.3961379251092972,,,,False,True
ADAUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,6,0,0.5045251528297333,,,0.5196434975178017,,,,False,True
XRPUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,5,0,0.3722831346335994,,,0.3273535892781495,,,,False,True
LTCUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,3,1,0.32942670448506384,0.5349605371743159,-0.20553383268925207,0.2344274112247347,0.5349605371743159,-0.3005331259495812,False,True,True
DOGEUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,3,0,0.46436955868843904,,,0.5101953493345212,,,,False,True
NEARUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,7,0,0.417158496076296,,,0.3888556665220594,,,,False,True
ETCUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,4,0,0.6080396308828875,,,0.6418574451661074,,,,False,True
AAVEUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,2,0,0.46893254093797027,,,0.46893254093797027,,,,False,True
FILUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,6,3,0.3921946162525696,0.3926919052828337,-0.0004972890302641364,0.3581774630913209,0.4572553414952646,-0.09907787840394366,False,True,False
DOTUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,11,3,0.47780359677890716,0.41945376261963796,0.0583498341592692,0.5289844243440407,0.4714267975093102,0.05755762683473048,True,False,False
ATOMUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,7,3,0.42679882464716556,0.6104542430974463,-0.18365541845028077,0.4359324534918558,0.6963630125179879,-0.26043055902613216,False,True,False
UNIUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,7,0,0.40443420013929327,,,0.3961379251092972,,,,False,True
ADAUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,6,2,0.5045251528297333,0.31351222220570174,0.19101293062403157,0.5196434975178017,0.31351222220570174,0.20613127531209996,True,False,True
XRPUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,5,1,0.3722831346335994,0.5660652583233227,-0.19378212368972325,0.3273535892781495,0.5660652583233227,-0.23871166904517316,False,True,True
LTCUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,3,1,0.32942670448506384,0.5005998905144359,-0.17117318602937204,0.2344274112247347,0.5005998905144359,-0.26617247928970117,False,True,True
DOGEUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,3,0,0.46436955868843904,,,0.5101953493345212,,,,False,True
NEARUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,7,1,0.417158496076296,0.5239191922288876,-0.1067606961525916,0.3888556665220594,0.5239191922288876,-0.13506352570682822,False,True,True
ETCUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,4,1,0.6080396308828875,0.5137454941164318,0.0942941367664557,0.6418574451661074,0.5137454941164318,0.12811195104967565,True,False,True
AAVEUSDT,executed_short1,clean_followthrough_vs_mixed_chop,mixed_chop,2,1,0.46893254093797027,0.5168311077409309,-0.04789856680296062,0.46893254093797027,0.5168311077409309,-0.04789856680296062,False,True,True
FILUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,6,17,0.3921946162525696,0.3859457797762249,0.006248836476344666,0.3581774630913209,0.3663258795041382,-0.008148416412817272,True,False,False
DOTUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,11,7,0.47780359677890716,0.4201930017655974,0.057610595013309784,0.5289844243440407,0.4714267975093102,0.05755762683473048,True,False,False
ATOMUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,7,11,0.42679882464716556,0.3943815980338153,0.03241722661335028,0.4359324534918558,0.4133522203182608,0.022580233173594977,True,False,False
UNIUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,7,9,0.40443420013929327,0.39654301451853186,0.00789118562076141,0.3961379251092972,0.327227376972984,0.0689105481363132,True,False,False
ADAUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,6,7,0.5045251528297333,0.41583790000198695,0.08868725282774637,0.5196434975178017,0.4367885678608452,0.08285492965695651,True,False,False
XRPUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,5,8,0.3722831346335994,0.3699589907526294,0.00232414388097002,0.3273535892781495,0.37548024134004604,-0.048126652061896535,True,False,False
