symbol,base_population,field,display_field,field_kind,is_major_candidate_field,expected_direction,observed_direction,supports_expected_direction,contradicts_expected_direction,sample_too_small_to_interpret,clean_count,adverse_dominant_count,clean_avg,clean_median,adverse_dominant_avg,adverse_dominant_median,delta_clean_minus_adverse,median_delta_clean_minus_adverse
DOTUSDT,executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,11,4,1.2738918274933873,1.378357564692374,1.0850916686585574,1.0801483601479465,0.1888001588348298,0.29820920454442756
DOTUSDT,executed_short1,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,11,4,1.0161411271384682,0.992031357797214,1.0799557956370067,0.966885734188516,-0.06381466849853856,0.025145623608697987
DOTUSDT,executed_short1,entry_plus_di,plus_di,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,11,4,16.261610097458114,17.063390612785767,15.324860409654692,15.02062163069567,0.936749687803422,2.042768982090097
DOTUSDT,executed_short1,entry_minus_di,minus_di,pre_entry_numeric,False,higher_clean,higher_clean,True,False,False,11,4,24.40095192372529,24.22382091238408,22.24296108923763,20.441166624210116,2.1579908344876593,3.7826542881739655
DOTUSDT,executed_short1,entry_di_spread,di_spread,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,11,4,-8.139341826267177,-8.769043803506323,-6.918100679582944,-6.352394028146261,-1.2212411466842337,-2.416649775360062
DOTUSDT,executed_short1,entry_rsi,entry_rsi,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,11,4,43.966891830464306,44.12744433277262,44.76614061967938,44.71221668666998,-0.7992487892150777,-0.5847723538973639
DOTUSDT,executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,True,higher_clean,higher_clean,True,False,False,11,4,0.8181818181818182,1.0,0.25,0.0,0.5681818181818182,1.0
DOTUSDT,executed_short1,entry_short_resumption,entry_short_resumption,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_short_pullback,entry_short_pullback,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,False,lower_clean,flat,False,True,False,11,4,0.0,0.0,0.0,0.0,0.0,0.0
DOTUSDT,executed_short1,entry_short_squeeze_pass,entry_short_squeeze_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,11,4,1.0,1.0,1.0,1.0,0.0,0.0
