EntryTime,open,high,low,close,volume,ema20,ema50,ema200,atr,atr_ma,rsi,cont_high,cont_low,plus_di,minus_di,adx,weekly_ema200,weekly_bull,weekly_bear,daily_ema200,daily_bull,daily_bear,exec_bull_structure,exec_bear_structure,exec_slope_up,exec_slope_down,exec_adx_pass,exec_atr_pass,exec_distance_atr,exec_distance_pass,long_distance_cap_pass,short_distance_cap_pass,short_ema20_gap_atr,short_ema20_proximity_pass,exec_bull_momentum,exec_bear_momentum,short_squeeze_risk,short_squeeze_pass,long_pullback,short_pullback,long_resumption_soft,short_resumption_soft,long_resumption_strong,short_resumption_strong,long_resumption,short_resumption,starter_long_signal,starter_short_signal,add_long_signal,add_short_signal,atr_ratio,di_spread,close_ema20_gap_atr,regime_label,executed_short1,baseline_active_context,blocked_by_open_trade_context,skipped_flat_or_cooldown_context,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_ema20,entry_ema50,entry_ema200,entry_atr,entry_atr_ma,entry_atr_ratio,entry_rsi,entry_plus_di,entry_minus_di,entry_adx,entry_di_spread,entry_weekly_bear,entry_daily_bear,entry_exec_bear_structure,entry_exec_slope_down,entry_exec_adx_pass,entry_exec_atr_pass,entry_exec_distance_atr,entry_exec_distance_pass,entry_short_distance_cap_pass,entry_short_ema20_gap_atr,entry_short_ema20_proximity_pass,entry_exec_bear_momentum,entry_short_squeeze_risk,entry_short_squeeze_pass,entry_short_pullback,entry_short_resumption,entry_short_resumption_soft,entry_short_resumption_strong,entry_starter_short_signal,entry_cont_low,entry_add_short_signal,entry_regime_label,entry_close_minus_ema20_atr,entry_high_minus_ema50_atr,entry_close_minus_cont_low_atr,fwd_24bar_short_return,fwd_24bar_mfe_atr,fwd_24bar_mae_atr,fwd_24bar_favorable,starter_population
2022-08-31 12:00:00+00:00,5.82,5.88,5.69,5.8,506577.02,5.838663900460543,6.061905511970575,6.8197470120806845,0.16414506796261083,0.16442148628481376,45.400606608233105,6.11,5.57,15.783744675070894,25.78938067365388,26.07056386605112,37.86757616090341,False,True,14.681677404960935,False,True,False,True,False,True,True,True,1.5955734474473033,True,True,True,0.23554713486335174,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.9983188430633444,-10.005635998582987,0.0,other,True,flat,False,False,5.82,5.88,5.69,5.8,506577.02,5.838663900460543,6.061905511970575,6.8197470120806845,0.16414506796261083,0.16442148628481376,0.9983188430633444,45.400606608233105,15.783744675070894,25.78938067365388,26.07056386605112,-10.005635998582987,True,True,True,True,True,True,1.5955734474473033,True,True,0.23554713486335174,True,True,False,True,True,True,True,False,True,5.57,False,other,-0.23554713486335174,-1.108199681101655,1.4011995782437352,-0.07068965517241382,1.2793561366573258,6.0921720793206,False,starter_short_signal_unfavorable
2022-09-08 04:00:00+00:00,5.86,5.92,5.72,5.8,816488.87,5.901390031976499,5.980749959331874,6.510358687178126,0.17846907022935954,0.19001792457565958,44.15691370730213,6.27,5.52,19.41861024588165,23.62353362844919,18.694119057114534,37.54680425880487,False,True,14.011618209792216,False,True,False,True,False,True,True,True,1.0127803047305797,True,True,True,0.5681098234343782,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.9392222898334961,-4.204923382567543,0.0,other,True,flat,False,False,5.86,5.92,5.72,5.8,816488.87,5.901390031976499,5.980749959331874,6.510358687178126,0.17846907022935954,0.19001792457565958,0.9392222898334961,44.15691370730213,19.41861024588165,23.62353362844919,18.694119057114534,-4.204923382567543,True,True,True,True,True,True,1.0127803047305797,True,True,0.5681098234343782,True,True,False,True,True,True,True,True,True,5.52,False,other,-0.5681098234343782,-0.34039488889475955,1.5688993036169137,-0.12413793103448272,0.560321179863181,6.667822040371879,False,starter_short_signal_unfavorable
2022-10-05 08:00:00+00:00,5.56,5.58,5.47,5.49,369324.35,5.555880296660857,5.598156603884039,5.850439885763127,0.10399588410347423,0.11384873494679379,41.68134418509496,5.66,5.47,13.277182235995907,21.705430439359866,23.293294957546106,36.30625676297596,False,True,12.054415178742355,False,True,False,True,False,True,True,True,1.0400085043406606,True,True,True,0.633489461903193,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.913456650634509,-8.428248203363959,0.0,other,True,flat,False,False,5.56,5.58,5.47,5.49,369324.35,5.555880296660857,5.598156603884039,5.850439885763127,0.10399588410347423,0.11384873494679379,0.913456650634509,41.68134418509496,13.277182235995907,21.705430439359866,23.293294957546106,-8.428248203363959,True,True,True,True,True,True,1.0400085043406606,True,True,0.633489461903193,True,True,False,True,True,True,True,True,True,5.47,False,other,-0.633489461903193,-0.1745896392012354,0.19231530336432145,0.01092896174863397,1.3462071235502246,1.5385224269145374,True,starter_short_signal_favorable
2022-10-06 16:00:00+00:00,5.55,5.59,5.52,5.54,301839.62,5.562889996396257,5.590132519014917,5.828786128293821,0.0952198632246529,0.105055651670374,46.68516586770962,5.66,5.43,16.093456922462302,19.523658430500028,16.340075443411102,36.30625676297596,False,True,11.989993137162829,False,True,False,True,False,True,True,True,0.5264922392992614,True,True,True,0.24039098168260006,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.9063754468290559,-3.430201508037726,0.0,other,False,Short1,True,False,5.55,5.59,5.52,5.54,301839.62,5.562889996396257,5.590132519014917,5.828786128293821,0.0952198632246529,0.105055651670374,0.9063754468290559,46.68516586770962,16.093456922462302,19.523658430500028,16.340075443411102,-3.430201508037726,True,True,True,True,True,True,0.5264922392992614,True,True,0.24039098168260006,True,True,False,True,True,True,True,False,True,5.43,False,other,-0.24039098168260006,-0.0013917160813853738,1.1552211510793347,0.04512635379061372,3.2556232439508386,0.21004020928714665,True,starter_short_signal_favorable
2022-10-06 20:00:00+00:00,5.54,5.56,5.46,5.48,238643.56,5.554995711025185,5.585813596700606,5.825315619554579,0.0955613015657491,0.10383739083677586,40.781883002565614,5.65,5.43,14.89052998605194,22.549116652178864,16.634057186230223,36.30625676297596,False,True,11.989993137162829,False,True,False,True,False,True,True,True,1.1072850093801072,True,True,True,0.7847916446971531,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.920297599888309,-7.658586666126924,0.0,other,False,Short1,True,False,5.54,5.56,5.46,5.48,238643.56,5.554995711025185,5.585813596700606,5.825315619554579,0.0955613015657491,0.10383739083677586,0.920297599888309,40.781883002565614,14.89052998605194,22.549116652178864,16.634057186230223,-7.658586666126924,True,True,True,True,True,True,1.1072850093801072,True,True,0.7847916446971531,True,True,False,True,True,True,True,True,True,5.43,False,other,-0.7847916446971531,-0.27012604765377773,0.5232243510789687,0.05839416058394165,3.976505068200114,0.5232243510789594,True,starter_short_signal_favorable
2022-10-14 12:00:00+00:00,5.17,5.25,5.07,5.07,671620.97,5.146399123440319,5.265459477309467,5.616141752804762,0.12555948391487629,0.10050994661900237,42.70290681606428,5.32,4.72,19.680927640911392,27.62295336409209,32.01189575347919,35.99843331259809,False,True,11.475008645834398,False,True,False,True,False,True,True,True,1.5567081929229647,True,True,True,0.6084695560879648,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,1.249224461244894,-7.9420257231806985,0.0,other,False,Short1,True,False,5.17,5.25,5.07,5.07,671620.97,5.146399123440319,5.265459477309467,5.616141752804762,0.12555948391487629,0.10050994661900237,1.249224461244894,42.70290681606428,19.680927640911392,27.62295336409209,32.01189575347919,-7.9420257231806985,True,True,True,True,True,True,1.5567081929229647,True,True,0.6084695560879648,True,True,False,True,True,True,True,True,True,4.72,False,other,-0.6084695560879648,-0.12312472803685805,2.787523403945216,-0.00986193293885598,0.7964352582700648,1.752157568194131,False,starter_short_signal_unfavorable
2022-10-24 12:00:00+00:00,5.04,5.05,4.91,4.97,465319.7,5.009772405131429,5.0514511158311,5.36516632965866,0.09188303362896351,0.08845322866022204,45.55719228614636,5.17,4.92,19.489359147171722,23.31543934849395,21.555934161951285,35.39034671449214,False,True,10.865705855726533,False,True,False,True,False,True,True,True,0.886465244062485,True,True,True,0.43285907703086407,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,1.0387753507779403,-3.8260802013222275,0.0,other,False,Short1,True,False,5.04,5.05,4.91,4.97,465319.7,5.009772405131429,5.0514511158311,5.36516632965866,0.09188303362896351,0.08845322866022204,1.0387753507779403,45.55719228614636,19.489359147171722,23.31543934849395,21.555934161951285,-3.8260802013222275,True,True,True,True,True,True,0.886465244062485,True,True,0.43285907703086407,True,True,False,True,True,True,True,True,True,4.92,False,other,-0.43285907703086407,-0.015793077065352327,0.5441701043732055,-0.07042253521126772,0.6530041252478447,5.768203106356001,False,starter_short_signal_unfavorable
2022-12-08 20:00:00+00:00,4.44,4.44,4.38,4.4,451085.5,4.43144730349606,4.446868400648158,4.584357438096158,0.0838496821162114,0.0871955740047421,45.14010076699831,4.6,4.19,14.366300875725987,24.848021334200425,29.722161117762536,33.61155750214934,False,True,8.636139541482484,False,True,False,True,False,True,True,True,0.5589574040745916,True,True,True,0.3750438010304563,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.9616277325228831,-10.481720458474438,0.0,other,True,flat,False,False,4.44,4.44,4.38,4.4,451085.5,4.43144730349606,4.446868400648158,4.584357438096158,0.0838496821162114,0.0871955740047421,0.9616277325228831,45.14010076699831,14.366300875725987,24.848021334200425,29.722161117762536,-10.481720458474438,True,True,True,True,True,True,0.5589574040745916,True,True,0.3750438010304563,True,True,False,True,True,True,True,False,True,4.19,False,other,-0.3750438010304563,-0.08191325804477037,2.5044817666565584,0.03409090909090917,2.7430038396714744,0.8348272555521792,True,starter_short_signal_favorable
2022-12-29 20:00:00+00:00,3.004,3.011,2.918,2.977,1031044.85,3.0031492576851386,3.0473812593140908,3.659472310392264,0.06665850147159198,0.06531117334430439,46.095653181936704,3.043,2.907,20.713196216444757,22.59541380306529,17.468142647137014,32.735319212442604,False,True,7.6561147343472955,False,True,False,True,False,True,True,True,1.0558482078101539,True,True,True,0.39228691176447844,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,1.0206293664360433,-1.8822175866205342,0.0,other,False,Short1,True,False,3.004,3.011,2.918,2.977,1031044.85,3.0031492576851386,3.0473812593140908,3.659472310392264,0.06665850147159198,0.06531117334430439,1.0206293664360433,46.095653181936704,20.713196216444757,22.59541380306529,17.468142647137014,-1.8822175866205342,True,True,True,True,True,True,1.0558482078101539,True,True,0.39228691176447844,True,True,False,True,True,True,True,True,True,2.907,False,other,-0.39228691176447844,-0.5457857364164619,1.0501286175752378,-0.058448102116224365,0.900110243635921,3.660448324119412,False,starter_short_signal_unfavorable
2023-04-03 12:00:00+00:00,5.566,5.601,5.476,5.522,761845.91,5.594026982898797,5.621623633970256,5.819647580715788,0.12694953128480901,0.13578467137528408,44.75092802012343,5.801,5.336,18.512606811030224,26.91650374309547,16.168790685157088,29.159525078878847,False,True,6.388621143127291,False,True,False,True,False,True,True,True,0.7847499156712303,True,True,True,0.5673670644534001,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.9349327136782889,-8.403896932065244,0.0,other,True,flat,False,False,5.566,5.601,5.476,5.522,761845.91,5.594026982898797,5.621623633970256,5.819647580715788,0.12694953128480901,0.13578467137528408,0.9349327136782889,44.75092802012343,18.512606811030224,26.91650374309547,16.168790685157088,-8.403896932065244,True,True,True,True,True,True,0.7847499156712303,True,True,0.5673670644534001,True,True,False,True,True,True,True,False,True,5.336,False,other,-0.5673670644534001,-0.16245537704261068,1.465149166897767,-0.07044549076421575,1.1579404706127536,3.371418513076583,False,starter_short_signal_unfavorable
2023-04-27 04:00:00+00:00,5.278,5.346,5.218,5.269,750160.27,5.301511507078724,5.442293655545154,5.714483327948145,0.13901046746516388,0.12074690927904208,46.84051262379849,5.55,5.018,20.951324890039775,27.60081563198325,24.564859561544313,28.471524564387238,False,True,6.252875996777276,False,True,False,True,False,True,True,True,1.246623068788556,True,True,True,0.233878122069273,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,1.1512548709956238,-6.649490741943474,0.0,other,True,flat,False,False,5.278,5.346,5.218,5.269,750160.27,5.301511507078724,5.442293655545154,5.714483327948145,0.13901046746516388,0.12074690927904208,1.1512548709956238,46.84051262379849,20.951324890039775,27.60081563198325,24.564859561544313,-6.649490741943474,True,True,True,True,True,True,1.246623068788556,True,True,0.233878122069273,True,True,False,True,True,True,True,False,True,5.018,False,other,-0.233878122069273,-0.692707947114023,1.805619422601403,-0.017840197380907252,0.43162217273340614,2.8918685573137983,False,starter_short_signal_unfavorable
2023-05-06 00:00:00+00:00,5.264,5.295,5.196,5.208,744520.78,5.272649401432966,5.326503263620285,5.560886267670133,0.07824955723870433,0.08097874641136966,39.00103317899384,5.362,5.1,17.871642705707124,29.055859980527686,19.433387850550787,28.240653673199308,False,True,6.176827224096408,False,True,False,True,False,True,True,True,1.5144272734832842,True,True,True,0.8261951085007396,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.9662974633022703,-11.184217274820561,0.0,other,False,Short1,True,False,5.264,5.295,5.196,5.208,744520.78,5.272649401432966,5.326503263620285,5.560886267670133,0.07824955723870433,0.08097874641136966,0.9662974633022703,39.00103317899384,17.871642705707124,29.055859980527686,19.433387850550787,-11.184217274820561,True,True,True,True,True,True,1.5144272734832842,True,True,0.8261951085007396,True,True,False,True,True,True,True,True,True,5.1,False,other,-0.8261951085007396,-0.40259989617811,1.3801995028616065,0.1292242703533026,11.194951523210756,0.16613512534445052,True,starter_short_signal_favorable
2023-05-17 04:00:00+00:00,4.464,4.486,4.403,4.415,564918.46,4.439108797551467,4.530975549197341,5.063610351140715,0.08043196674412822,0.08498959822997379,46.009518142930354,4.527,4.372,13.785936570883116,16.836686775640867,27.761192289474394,27.784860674546813,False,True,6.008759400901914,False,True,False,True,False,True,True,True,1.4419086576147564,True,True,True,0.2997414899496621,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.946374243663171,-3.050750204757751,0.0,other,False,Short1,True,False,4.464,4.486,4.403,4.415,564918.46,4.439108797551467,4.530975549197341,5.063610351140715,0.08043196674412822,0.08498959822997379,0.946374243663171,46.009518142930354,13.785936570883116,16.836686775640867,27.761192289474394,-3.050750204757751,True,True,True,True,True,True,1.4419086576147564,True,True,0.2997414899496621,True,True,False,True,True,True,True,False,True,4.372,False,other,-0.2997414899496621,-0.559175052133414,0.5346133103619436,-0.019026047565118828,0.42271750121641666,3.1952469944888104,False,starter_short_signal_unfavorable
2023-05-24 12:00:00+00:00,4.446,4.458,4.335,4.4,1230700.93,4.454097995267964,4.473023155523351,4.851468308103466,0.0634525731960332,0.0591641934875994,41.953207809996,4.528,4.395,13.552566566131537,28.51731121359001,17.25243551819003,27.552673006143365,False,True,5.904971474898029,False,True,False,True,False,True,True,True,1.1508304840175625,True,True,True,0.8525737025798924,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,1.0724826868354527,-14.964744647458472,0.0,other,False,Short1,True,False,4.446,4.458,4.335,4.4,1230700.93,4.454097995267964,4.473023155523351,4.851468308103466,0.0634525731960332,0.0591641934875994,1.0724826868354527,41.953207809996,13.552566566131537,28.51731121359001,17.25243551819003,-14.964744647458472,True,True,True,True,True,True,1.1508304840175625,True,True,0.8525737025798924,True,True,False,True,True,True,True,True,True,4.395,False,other,-0.8525737025798924,-0.23676195884030846,0.07879901079115514,-0.030909090909090733,1.0559067446013164,2.7106859712153084,False,starter_short_signal_unfavorable
