symbol,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser
ADAUSDT,-30270.79520858,2738,2767,0.03294,0.03674,115534.30629741665,,-116.08365629767115,1.0546345050669272,-0.1164189435336978,2020-04-14 04:00:00+00:00,2020-04-19 00:00:00+00:00,4 days 20:00:00,Short1,short,False,True
ADAUSDT,-3937.2784773000003,8663,8725,0.259,0.2768,723728.5975398953,,-71.13835380000867,1.05479690406867,-0.06976023166023165,2022-12-27 16:00:00+00:00,2023-01-07 00:00:00+00:00,10 days 08:00:00,Short1,short,False,True
ADAUSDT,-2835.40372174,9478,9577,0.3594,0.3798,774759.8353100673,,-58.890201139051136,1.047965215555104,-0.05778964941569282,2023-05-12 12:00:00+00:00,2023-05-29 00:00:00+00:00,16 days 12:00:00,Short1,short,False,True
ADAUSDT,-3712.92559201,9766,9853,0.2743,0.3611,1739836.8236868393,,-323.46153784704956,1.179596460581577,-0.3176000729128691,2023-06-29 12:00:00+00:00,2023-07-14 00:00:00+00:00,14 days 12:00:00,Short1,short,False,True
ADAUSDT,-3488.7370825000003,10004,10009,0.291,0.2974,613004.5270037709,,-23.354303777671564,1.0263864496715,-0.02300412371134035,2023-08-08 04:00:00+00:00,2023-08-09 00:00:00+00:00,0 days 20:00:00,Short1,short,False,True
ADAUSDT,-3501.16959187,10043,10321,0.2899,0.2508,462370.8996117295,,135.9491898429548,0.9465411991620546,0.1339415315626076,2023-08-14 16:00:00+00:00,2023-09-30 00:00:00+00:00,46 days 08:00:00,Short1,short,True,False
ADAUSDT,-2172.61196489,11589,11701,0.4678,0.46020000000000005,1119114.6431407116,,15.503758981454894,1.00809195170896,0.015254382214621469,2024-04-28 08:00:00+00:00,2024-05-17 00:00:00+00:00,18 days 16:00:00,Short1,short,True,False
ADAUSDT,-2213.63858294,11774,11833,0.4592,0.4469,1520003.0073148094,,26.22486561016096,1.0028889600009672,0.025799107142857047,2024-05-29 04:00:00+00:00,2024-06-08 00:00:00+00:00,9 days 20:00:00,Short1,short,True,False
ADAUSDT,-2785.65741064,12008,12049,0.365,0.4285,1581582.3772737107,,-177.9944551533114,1.10520957767142,-0.17505958904109578,2024-07-07 04:00:00+00:00,2024-07-14 00:00:00+00:00,6 days 20:00:00,Short1,short,False,True
ADAUSDT,-2523.5850319700003,12154,12295,0.4022,0.3908,1170284.463063077,,27.768267899281955,1.000601465176105,0.02735827946295382,2024-07-31 12:00:00+00:00,2024-08-24 00:00:00+00:00,23 days 12:00:00,Short1,short,True,False
ADAUSDT,-2866.35641944,12329,12463,0.3542,0.3549,883154.5850486635,,-3.022716162120356,1.0162666685124522,-0.0029772727272727156,2024-08-29 16:00:00+00:00,2024-09-21 00:00:00+00:00,22 days 08:00:00,Short1,short,False,True
ADAUSDT,-2883.36617924,12566,12613,0.3521,0.3556,1144001.7477129595,,-11.11206074986419,1.0202791225240742,-0.01094532803180916,2024-10-08 04:00:00+00:00,2024-10-16 00:00:00+00:00,7 days 20:00:00,Short1,short,False,True
ADAUSDT,-3969.5956039400003,15669,15697,0.2549,0.2654,893158.2550212265,,-42.71344413773497,1.0326902963649913,-0.042213220870929796,2026-03-09 08:00:00+00:00,2026-03-14 00:00:00+00:00,4 days 16:00:00,Short1,short,False,True
LTCUSDT,-32.50407316,51,72,30.75,32.7,109387941.1876344,,-64.41413438300111,1.031191721001,-0.06444634146341469,2019-01-21 12:00:00+00:00,2019-01-25 00:00:00+00:00,3 days 12:00:00,Short1,short,False,True
LTCUSDT,-19.20456454,8086,8095,52.77,54.74,245628220.01967594,,-38.8653335106477,1.0323413668477,-0.03835048322910755,2022-09-22 12:00:00+00:00,2022-09-24 00:00:00+00:00,1 days 12:00:00,Short1,short,False,True
LTCUSDT,-19.414266220000002,8205,8209,52.18,51.9,109298158.08164155,,4.425676127511197,1.0103184140888,0.004368723648907657,2022-10-12 08:00:00+00:00,2022-10-13 00:00:00+00:00,0 days 16:00:00,Short1,short,True,False
LTCUSDT,-19.77128505,8218,8287,51.24,56.37,139818536.53997952,,-102.49048629861512,1.06379399211525,-0.10116715456674456,2022-10-14 12:00:00+00:00,2022-10-26 00:00:00+00:00,11 days 12:00:00,Short1,short,False,True
LTCUSDT,-13.205326900000001,9712,9721,76.64,87.86,268325999.6023138,,-149.2499059555251,1.086138137525,-0.14747194676409192,2023-06-20 12:00:00+00:00,2023-06-22 00:00:00+00:00,1 days 12:00:00,Short1,short,False,True
LTCUSDT,-15.98741497,10184,10333,63.21,67.83,136397860.99257883,,-74.90935259023436,1.0474954288344,-0.07412624584717611,2023-09-07 04:00:00+00:00,2023-10-02 00:00:00+00:00,24 days 20:00:00,Short1,short,False,True
LTCUSDT,-15.58357687,10356,10423,64.8,63.0,116872441.68790853,,27.05464780400696,0.9957905619930001,0.02679166666666668,2023-10-05 20:00:00+00:00,2023-10-17 00:00:00+00:00,11 days 04:00:00,Short1,short,True,False
LTCUSDT,-15.53261867,10930,11113,65.03,71.39,122767774.29454029,,-99.84693466068072,1.0594799194807,-0.09884991542365063,2024-01-09 12:00:00+00:00,2024-02-09 00:00:00+00:00,30 days 12:00:00,Short1,short,False,True
LTCUSDT,-12.94034652,11863,12145,77.98,73.94,204571963.07210425,,51.29605121914089,0.9829487216592,0.05083406001538865,2024-06-13 00:00:00+00:00,2024-07-30 00:00:00+00:00,47 days 00:00:00,Short1,short,True,False
LTCUSDT,-16.23674696,12327,12427,62.18,65.66,121513232.19685283,,-57.541732286483146,1.0378528656832,-0.05699453200385966,2024-08-29 08:00:00+00:00,2024-09-15 00:00:00+00:00,16 days 16:00:00,Short1,short,False,True
LTCUSDT,-15.61959437,12584,12595,64.6,65.53,101143365.35538937,,-15.54251167178415,1.01628890768405,-0.0154034829721363,2024-10-11 04:00:00+00:00,2024-10-13 00:00:00+00:00,1 days 20:00:00,Short1,short,False,True
LTCUSDT,-18.56301447,15785,15907,54.15,56.24,110866500.07522045,,-39.82128582597162,1.02458558367165,-0.03961578947368411,2026-03-28 16:00:00+00:00,2026-04-18 00:00:00+00:00,20 days 08:00:00,Short1,short,False,True
TRXUSDT,-65535.851058960005,1676,1712,0.01523,0.01717,83566.50824403821,,-128.20123184153758,1.0616807871551521,-0.12844386080105058,2019-10-20 00:00:00+00:00,2019-10-26 00:00:00+00:00,6 days 00:00:00,Short1,short,False,True
TRXUSDT,-65024.76451372,1941,2066,0.01533,0.01361,57976.31103166631,,110.90168662108489,0.9409083425135285,0.11125440313111545,2019-12-03 04:00:00+00:00,2019-12-24 00:00:00+00:00,20 days 20:00:00,Short1,short,True,False
TRXUSDT,-79898.96738432,2738,2755,0.01249,0.01298,49914.469644048004,,-40.16800736795614,1.0175133496393154,-0.04025100080064059,2020-04-14 04:00:00+00:00,2020-04-17 00:00:00+00:00,2 days 20:00:00,Short1,short,False,True
ETCUSDT,-234.39337973,44,216,4.2642,4.2349,9189666.009571705,,5.87165963925741,0.9960663868316215,0.00587459546925574,2019-01-20 08:00:00+00:00,2019-02-18 00:00:00+00:00,28 days 16:00:00,Short1,short,True,False
ETCUSDT,-56.868996100000004,10013,10315,17.8,15.790000000000001,31447230.885374747,,113.35156737150051,0.9551147894995,0.11197780898876407,2023-08-09 16:00:00+00:00,2023-09-29 00:00:00+00:00,50 days 08:00:00,Short1,short,True,False
ETCUSDT,-55.336676340000004,12683,12703,18.3,19.41,48943241.946971186,,-62.46708376979063,1.0433730323907,-0.061686065573770404,2024-10-27 16:00:00+00:00,2024-10-31 00:00:00+00:00,3 days 08:00:00,Short1,short,False,True
