Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser_nonpositive,entry_exec_distance_atr,entry_short_ema20_gap_atr,entry_atr_ratio,entry_adx,entry_plus_di,entry_minus_di,entry_di_spread,entry_rsi,entry_exec_bear_structure,entry_exec_slope_down,entry_exec_adx_pass,entry_exec_atr_pass,entry_exec_distance_pass,entry_short_distance_cap_pass,entry_short_ema20_proximity_pass,entry_exec_bear_momentum,entry_short_squeeze_risk,entry_short_squeeze_pass,entry_short_pullback,entry_short_resumption,entry_short_resumption_strong,entry_starter_short_signal,fwd_24bar_short_return,fwd_24bar_mfe_atr,fwd_24bar_mae_atr,followthrough_label,symbol,population
-304.3923347,8480,8562,3.331,3.7270000000000003,11566383.060540698,,-121.61356509035642,1.0742005491562998,-0.11994265986190342,2024-09-07 08:00:00+00:00,2024-09-21 00:00:00+00:00,13 days 16:00:00,Short1,short,False,True,1.515400169446957,0.23122848786747077,0.919530719653877,39.56250618910797,14.364655138969871,27.360586429862177,-12.995931290892306,45.15175462683468,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.06784749324527169,0.15256025413261082,4.602234333000423,False,FILUSDT,executed_short1_adverse
-277.83685569,8667,8706,3.645,3.8279999999999994,10358748.29112618,,-51.882282002555606,1.038137411285685,-0.0512308641975307,2024-10-08 12:00:00+00:00,2024-10-15 00:00:00+00:00,6 days 12:00:00,Short1,short,False,True,0.756871334187954,0.5436175514619218,1.2809890257133332,22.880699272477294,10.181125616158594,35.03850779148702,-24.857382175328425,45.12823533678909,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.0038408779149520533,2.134867524569017,0.3237713781336903,True,FILUSDT,executed_short1_followthrough
-302.59993287000003,8836,8844,3.3450000000000006,3.7790000000000004,13373577.332620941,,-132.40623182646286,1.0778609608829401,-0.1308107623318384,2024-11-05 16:00:00+00:00,2024-11-07 00:00:00+00:00,1 days 08:00:00,Short1,short,False,True,1.5337214796301266,0.36632587950413825,1.0306631799145436,33.03684546838158,16.961346513553877,23.338561025475332,-6.377214511921455,44.36495854498194,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.15934230194319876,0.12174305719427198,8.57612202901839,False,FILUSDT,executed_short1_adverse
-318.28506765000003,9513,9738,3.176,2.757,16802233.630262323,,132.41725069216625,0.944192653183725,0.1309929156171284,2025-02-26 12:00:00+00:00,2025-04-05 00:00:00+00:00,37 days 12:00:00,Short1,short,True,False,0.9127967749080003,0.10049145042509154,1.1205334620430054,29.271929037104485,14.567070890838767,27.040995404071875,-12.473924513233108,46.69608770119966,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.03935768261964735,1.6947818667331274,1.9170483410587793,False,FILUSDT,executed_short1_adverse
-390.65877483,10102,10314,2.591,2.435,6473985.44112125,,59.96104337233229,0.98172550114779,0.05923851794673878,2025-06-04 16:00:00+00:00,2025-07-10 00:00:00+00:00,35 days 08:00:00,Short1,short,True,False,1.1397483650377729,0.3413111251521856,0.9423337685855577,32.22032508230601,14.426405251063962,33.173958105355766,-18.747552854291804,45.74913063609164,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.03280586646082609,4.598875261584565,0.1859839260199584,True,FILUSDT,executed_short1_followthrough
-421.99841516000004,10568,10578,2.4,2.516,9616013.84297391,,-49.989088263023355,1.03727210446328,-0.049357500000000006,2025-08-21 08:00:00+00:00,2025-08-23 00:00:00+00:00,1 days 16:00:00,Short1,short,False,True,1.41554349419843,0.6329072449788801,0.9231059555800606,23.60661249678235,12.900798015109018,24.513818878736924,-11.613020863627906,42.20205221319361,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.039583333333333234,2.406173800856127,4.100120156658842,False,FILUSDT,executed_short1_adverse
-435.58371571000004,10601,10650,2.324,2.293,7383154.266521087,,12.497550179293356,1.005545007716535,0.012345740103270103,2025-08-26 20:00:00+00:00,2025-09-04 00:00:00+00:00,8 days 04:00:00,Short1,short,True,False,1.1868878252596058,0.22354654349146263,1.0224802708529184,20.97637907023977,21.351203235219117,25.10428755786868,-3.7530843226495634,46.05951972603274,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.014199655765920792,1.5229166688030316,1.2373697934024723,True,FILUSDT,executed_short1_followthrough
-464.20058155000004,10807,10830,2.181,2.364,6667699.270224428,,-86.00360224522224,1.0548958215723752,-0.08494841815680856,2025-09-30 04:00:00+00:00,2025-10-04 00:00:00+00:00,3 days 20:00:00,Short1,short,False,True,1.3623866462377374,0.2149711224389752,0.9618397070062388,28.41124924399714,19.249370976982192,22.672339578332455,-3.422968601350263,46.50398821174886,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.08253094910591478,1.3703560954076572,6.744301567594525,False,FILUSDT,executed_short1_adverse
-656.43209743,10939,11034,1.541,2.135,20908717.99319118,,-391.12718806849625,1.20652219507634,-0.3866567164179104,2025-10-22 04:00:00+00:00,2025-11-07 00:00:00+00:00,15 days 20:00:00,Short1,short,False,True,1.4343344048429307,0.45725534149526464,1.0300031083396062,23.522759012046286,20.20149012496391,28.888746706563214,-8.687256581599303,46.13418215430222,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.019467878001297876,1.715919719691283,1.1863148679347157,False,FILUSDT,executed_short1_adverse
-658.1662605600001,11189,11370,1.531,1.489,7326607.846698639,,26.64915189007428,0.9938310534456,0.026446766819072362,2025-12-02 20:00:00+00:00,2026-01-02 00:00:00+00:00,30 days 04:00:00,Short1,short,True,False,1.5036309521154623,0.04414365942114312,1.0306878234655357,24.053147589524194,21.89758126552355,22.235784139208263,-0.3382028736847147,46.94035958928099,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.025473546701502238,2.1452745966766655,2.145274596676671,False,FILUSDT,executed_short1_adverse
-1073.39606312,11771,11814,0.939,0.9699999999999999,4141101.3568466906,,-34.29983449896795,1.0245565422480398,-0.03403035143769948,2026-03-09 20:00:00+00:00,2026-03-17 00:00:00+00:00,7 days 04:00:00,Short1,short,False,True,1.2213806848378277,0.6176438764212113,1.1067076168032366,22.419705623758247,16.065610856403573,17.455216811430056,-1.3896059550264823,42.21245554605279,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.0745473908413205,3.622825876153115,0.6694352162456851,True,FILUSDT,executed_short1_followthrough
