scope,candidate,market,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
holdout,E_true_mean_reversion_v2,BTCUSDT,majors,3,-5.41506,0.703076,0.018237,33.333333,-1.80502,-7.85595,12.822102,18.237162,2.998792,1.666667,1.0,2,1,0,0
holdout,E_true_mean_reversion_v2,DOGEUSDT,meme_high_beta,3,-15.212208,0.775729,0.0,66.666667,-5.070736,11.722993,52.617375,67.829584,2.993891,4.333333,4.0,1,1,1,0
holdout,E_true_mean_reversion_v2,DOTUSDT,other,4,20.110482,2.6155,0.012448,75.0,5.027621,6.742492,32.558939,12.448456,4.012061,3.75,4.0,1,1,2,0
holdout,E_true_mean_reversion_v2,ETCUSDT,other,2,33.55053,3.70396,0.012408,50.0,16.775265,16.775265,45.958454,12.407923,2.017784,1.5,1.5,1,1,0,0
holdout,E_true_mean_reversion_v2,ETHUSDT,majors,7,-27.808391,0.601258,0.020524,42.857143,-3.972627,-13.658922,41.931951,69.740342,6.989591,2.428571,2.0,4,2,1,0
holdout,E_true_mean_reversion_v2,FILUSDT,other,3,-158.973532,0.0,0.10933,0.0,-52.991177,-49.643756,0.0,158.973532,2.921974,3.333333,3.0,2,0,1,0
holdout,E_true_mean_reversion_v2,LINKUSDT,large_alts,2,4.762154,1.153108,0.0,50.0,2.381077,2.381077,35.865329,31.103175,2.003383,2.0,2.0,1,1,0,0
holdout,E_true_mean_reversion_v2,LTCUSDT,large_alts,4,-72.288931,0.476744,0.04748,50.0,-18.072233,-20.171446,65.863094,138.152025,3.965838,4.25,5.0,2,1,1,0
holdout,E_true_mean_reversion_v2,NEARUSDT,other,2,11.286748,1.547611,0.0,50.0,5.643374,5.643374,31.897625,20.610877,2.006647,3.0,3.0,1,1,0,0
holdout,E_true_mean_reversion_v2,SOLUSDT,large_alts,1,6.994897,inf,0.0,100.0,6.994897,6.994897,6.994897,-0.0,1.003999,6.0,6.0,0,0,1,0
holdout,E_true_mean_reversion_v2,TRXUSDT,other,4,41.807757,8.097971,0.00589,75.0,10.451939,6.011969,47.697857,5.890099,4.022915,1.0,1.0,1,3,0,0
holdout,E_true_mean_reversion_v2,UNIUSDT,defi,5,7.164239,1.130153,0.035051,60.0,1.432848,19.226419,62.209068,55.044828,5.006085,3.2,2.0,2,1,2,0
holdout,E_true_mean_reversion_v2,XRPUSDT,large_alts,4,-90.605374,0.110318,0.062164,25.0,-22.651344,-31.082138,11.234853,101.840228,3.956676,1.25,1.0,3,1,0,0
holdout,F_relative_strength_rotation,AAVEUSDT,defi,43,-223.982847,0.798818,0.412649,32.55814,-5.208903,-30.779169,889.353885,1113.336733,42.909463,7.604651,8.0,17,7,9,0
holdout,F_relative_strength_rotation,ADAUSDT,large_alts,40,305.252489,1.313125,0.255277,42.5,7.631312,-26.925586,1280.110598,974.858109,40.172713,5.95,5.0,20,12,7,0
holdout,F_relative_strength_rotation,ATOMUSDT,other,33,-226.56923,0.705615,0.326363,27.272727,-6.865734,-22.331379,543.067229,769.636459,32.903167,6.666667,7.0,16,6,6,0
holdout,F_relative_strength_rotation,AVAXUSDT,large_alts,47,-73.615459,0.930867,0.286645,40.425532,-1.566286,-26.983721,991.225444,1064.840904,46.986686,6.468085,6.0,23,12,8,0
holdout,F_relative_strength_rotation,BCHUSDT,large_alts,38,-248.873517,0.683831,0.380677,31.578947,-6.549303,-24.240543,538.279167,787.152684,37.89451,7.236842,7.0,19,5,9,0
holdout,F_relative_strength_rotation,BNBUSDT,large_alts,53,-145.340395,0.817422,0.307509,41.509434,-2.742272,-10.753298,650.705009,796.045403,52.953807,6.301887,5.0,24,10,10,0
holdout,F_relative_strength_rotation,BTCUSDT,majors,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,F_relative_strength_rotation,DOGEUSDT,meme_high_beta,48,536.571495,1.517701,0.205881,47.916667,11.178573,-11.796341,1573.022431,1036.450937,48.292432,6.645833,6.0,17,15,9,0
holdout,F_relative_strength_rotation,DOTUSDT,other,31,-40.444318,0.946523,0.33249,45.16129,-1.304655,-20.375568,715.846258,756.290576,30.995275,6.483871,5.0,16,8,6,0
holdout,F_relative_strength_rotation,ETCUSDT,other,31,-343.768107,0.619062,0.435226,35.483871,-11.089294,-30.425434,558.658266,902.426372,30.843538,5.967742,5.0,16,8,4,0
holdout,F_relative_strength_rotation,ETHUSDT,majors,50,172.624141,1.257399,0.233867,42.0,3.452483,-7.836746,843.272038,670.647898,50.111368,7.62,8.0,18,11,13,0
holdout,F_relative_strength_rotation,FILUSDT,other,31,-206.761098,0.721672,0.409349,29.032258,-6.669713,-29.067271,536.107298,742.868396,30.912075,6.322581,5.0,17,6,5,0
holdout,F_relative_strength_rotation,LINKUSDT,large_alts,54,-379.947029,0.715401,0.499134,37.037037,-7.036056,-26.345424,955.078898,1335.025927,53.836945,6.907407,5.5,28,11,12,0
holdout,F_relative_strength_rotation,LTCUSDT,large_alts,34,12.110798,1.020071,0.212859,38.235294,0.3562,-17.515314,615.507545,603.396747,34.023067,5.941176,5.0,17,7,6,0
holdout,F_relative_strength_rotation,NEARUSDT,other,46,-273.286078,0.763369,0.419522,36.956522,-5.941002,-29.455005,881.619986,1154.906064,45.8863,7.217391,7.0,20,9,10,0
holdout,F_relative_strength_rotation,SOLUSDT,large_alts,48,15.81203,1.016606,0.299496,39.583333,0.329417,-22.093345,968.020386,952.208356,48.031922,7.104167,6.5,24,12,9,0
holdout,F_relative_strength_rotation,TRXUSDT,other,35,267.455775,2.024991,0.08481,51.428571,7.641594,2.148582,528.390508,260.934734,35.151304,5.714286,4.0,16,11,7,0
holdout,F_relative_strength_rotation,UNIUSDT,defi,34,-438.387533,0.565776,0.40243,23.529412,-12.893751,-34.047944,571.201545,1009.589078,33.797705,7.235294,6.0,18,5,7,0
holdout,F_relative_strength_rotation,XRPUSDT,large_alts,45,782.832757,1.842441,0.303179,44.444444,17.396283,-19.576854,1712.076348,929.243591,45.414123,5.688889,4.0,20,18,5,0
holdout,H_market_family_framework_v2,AAVEUSDT,defi,16,149.858143,1.529463,0.217624,50.0,9.366134,-4.767412,432.896286,283.038143,16.082971,3.875,3.5,7,2,2,5
holdout,H_market_family_framework_v2,ADAUSDT,large_alts,3,8.09452,1.369497,0.021907,66.666667,2.698173,0.415277,30.0014,21.90688,3.00555,5.0,6.0,1,0,2,0
holdout,H_market_family_framework_v2,ATOMUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,AVAXUSDT,large_alts,1,4.222048,inf,0.0,100.0,4.222048,4.222048,4.222048,-0.0,1.002612,6.0,6.0,0,0,1,0
holdout,H_market_family_framework_v2,BCHUSDT,large_alts,4,-12.716311,0.694044,0.041563,25.0,-3.179078,-11.799092,28.846266,41.562576,3.99564,3.0,2.5,2,1,1,0
holdout,H_market_family_framework_v2,BNBUSDT,large_alts,1,-16.928503,0.0,0.0,0.0,-16.928503,-16.928503,0.0,16.928503,0.992032,2.0,2.0,1,0,0,0
holdout,H_market_family_framework_v2,BTCUSDT,majors,6,-13.534189,0.769873,0.050208,33.333333,-2.255698,-5.02009,45.277571,58.81176,5.996231,7.333333,10.0,2,0,4,0
holdout,H_market_family_framework_v2,DOGEUSDT,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,DOTUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,ETCUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,ETHUSDT,majors,6,-33.808289,0.634772,0.051873,33.333333,-5.634715,-4.510192,58.759415,92.567704,5.986089,7.333333,8.5,2,1,3,0
holdout,H_market_family_framework_v2,FILUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,LINKUSDT,large_alts,2,4.762154,1.153108,0.0,50.0,2.381077,2.381077,35.865329,31.103175,2.003383,2.0,2.0,1,1,0,0
holdout,H_market_family_framework_v2,LTCUSDT,large_alts,4,-72.288931,0.476744,0.04748,50.0,-18.072233,-20.171446,65.863094,138.152025,3.965838,4.25,5.0,2,1,1,0
holdout,H_market_family_framework_v2,NEARUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,SOLUSDT,large_alts,1,6.994897,inf,0.0,100.0,6.994897,6.994897,6.994897,-0.0,1.003999,6.0,6.0,0,0,1,0
holdout,H_market_family_framework_v2,TRXUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,H_market_family_framework_v2,UNIUSDT,defi,24,-34.434467,0.910601,0.175313,41.666667,-1.434769,-15.818747,350.744634,385.179101,23.99478,4.5,4.0,12,2,5,5
holdout,H_market_family_framework_v2,XRPUSDT,large_alts,4,-90.605374,0.110318,0.062164,25.0,-22.651344,-31.082138,11.234853,101.840228,3.956676,1.25,1.0,3,1,0,0
holdout,I_defensive_short_only,AAVEUSDT,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,ADAUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,ATOMUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,AVAXUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,BCHUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,BNBUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,BTCUSDT,majors,33,-16.652347,0.969928,0.179442,42.424242,-0.504617,-9.691553,537.102186,553.754533,32.99183,6.848485,5.0,13,6,11,0
holdout,I_defensive_short_only,DOGEUSDT,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,DOTUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,ETCUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,ETHUSDT,majors,36,-393.183125,0.595527,0.537179,27.777778,-10.921753,-31.116104,578.903619,972.086744,36.178502,6.694444,6.5,17,7,7,0
holdout,I_defensive_short_only,FILUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,LINKUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,LTCUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,NEARUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,SOLUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,TRXUSDT,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,UNIUSDT,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,I_defensive_short_only,XRPUSDT,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
holdout,J_long_short_regime_switch,AAVEUSDT,defi,13,-186.914848,0.604683,0.239394,23.076923,-14.378065,-44.977103,285.907264,472.822113,12.912999,5.538462,5.0,6,2,3,0
holdout,J_long_short_regime_switch,ADAUSDT,large_alts,23,271.684087,1.428972,0.32235,52.173913,11.812352,1.694125,905.021552,633.337465,23.267611,7.173913,7.0,6,7,9,0
holdout,J_long_short_regime_switch,ATOMUSDT,other,8,69.685282,1.472119,0.147601,37.5,8.71066,-11.28008,217.286409,147.601127,8.038862,6.0,4.5,3,2,2,0
holdout,J_long_short_regime_switch,AVAXUSDT,large_alts,22,-253.080708,0.674207,0.586843,36.363636,-11.503669,-19.296099,523.733645,776.814353,22.227478,6.590909,6.5,6,6,6,0
