scope,count,runtime_in_profit_pass,scale_consistent_in_profit_diagnostic_pass,close_above_entry_count,close_above_entry_share,avg_runtime_unrealized_pct,median_runtime_unrealized_pct,min_runtime_unrealized_pct,max_runtime_unrealized_pct,avg_mixed_scale_profit_atr,median_mixed_scale_profit_atr,min_mixed_scale_profit_atr,max_mixed_scale_profit_atr,avg_scale_consistent_profit_atr,median_scale_consistent_profit_atr,min_scale_consistent_profit_atr,max_scale_consistent_profit_atr,avg_runtime_close_minus_mixed_threshold,max_runtime_close_minus_mixed_threshold,avg_runtime_close_minus_scale_consistent_threshold,max_runtime_close_minus_scale_consistent_threshold,avg_bars_since_long1_entry,median_bars_since_long1_entry,min_bars_since_long1_entry,max_bars_since_long1_entry
market:FILUSDT,20,0,19,20,1.0,0.4950169338580122,0.34935322195704055,0.020149537447725296,1.7485095465393798,6.279839682885939e-08,6.311031268011212e-08,6.847480195983314e-09,1.1287202119151442e-07,6.279839682885939,6.311031268011211,0.6847480195983314,11.287202119151441,-4.614159110184653,-1.6438266797793442,3.685314047514235e-07,1.3613754516634216e-06,20.8,15.5,4.0,54.0
market:LINKUSDT,83,0,79,83,1.0,0.18739538152960242,0.11749491180461324,0.004677244302031115,1.2675436182508673,3.420199415374428e-08,3.191100443765468e-08,1.8201262357200548e-09,7.518810062403635e-08,3.420199415374428,3.1911004437654675,0.18201262357200548,7.5188100624036345,-0.5368919431145301,-0.04411056424713016,1.752377913510844e-08,8.273768925410355e-08,12.843373493975903,7.0,1.0,61.0
market:LTCUSDT,85,0,83,85,1.0,0.12914572859246945,0.09799334113200749,0.012217001281503643,0.435211478104917,2.938312356113772e-08,2.4861440345010656e-08,7.321320164970844e-09,8.335738335714538e-08,2.938312356113772,2.4861440345010655,0.7321320164970844,8.335738335714536,-5.093433188094599,-1.1404492403969542,1.4145507795986576e-07,7.672440971233545e-07,8.68235294117647,7.0,1.0,32.0
market:NEARUSDT,56,0,53,56,1.0,0.1928769457282309,0.13759280540205385,0.026049536824124538,0.8444849287843658,2.8690421099449665e-08,2.6216613419719637e-08,6.595039421279567e-09,6.837739166935367e-08,2.8690421099449663,2.6216613419719637,0.6595039421279566,6.837739166935368,-0.2721998816328495,-0.04729134951454104,7.435465367811151e-09,4.2115914866621905e-08,10.303571428571429,10.0,1.0,29.0
market:SOLUSDT,90,0,86,90,1.0,0.23808774401715474,0.10923188862971513,0.007678483907858078,1.3077395577395579,4.0450092147529434e-08,2.932360087620911e-08,3.90476651022378e-09,1.238516375886576e-07,4.045009214752943,2.9323600876209106,0.39047665102237805,12.38516375886576,-3.7195176640312613,-1.0279844806886835,1.6787037686458738e-07,9.957403116680317e-07,17.41111111111111,11.0,1.0,67.0
market:TRXUSDT,146,0,141,146,1.0,0.10220694554098635,0.04581029538251081,0.0012224938875306846,1.221027117103469,4.3465616959242615e-08,3.87395069723619e-08,5.222772367583949e-10,1.0156089716239759e-07,4.346561695924262,3.873950697236189,0.052227723675839485,10.156089716239759,-0.0018112329049336567,-0.00040523059680583996,8.526917676616344e-11,7.367790030315519e-10,21.506849315068493,16.5,1.0,69.0
market:UNIUSDT,12,0,9,12,1.0,0.05367533149489839,0.03955085601703318,0.004465077349751288,0.11666763678696161,1.3122611968167052e-08,1.145104526958352e-08,7.625968637400695e-10,2.463372413808378e-08,1.3122611968167055,1.145104526958352,0.07625968637400696,2.463372413808378,-0.9698435427967129,-0.5957085375737083,5.892481082790376e-09,2.6932614074408082e-08,4.416666666666667,3.0,1.0,9.0
market:XRPUSDT,33,0,33,33,1.0,0.5445622530350008,0.22051605665404578,0.01708764307253338,2.1763841826770602,5.394987999534771e-08,4.8362971407718987e-08,1.1227727249009155e-08,1.1327280073710366e-07,5.394987999534772,4.836297140771898,1.1227727249009154,11.327280073710368,-0.06127543075008005,-0.014315239692017681,4.114600190680199e-09,1.209212754408363e-08,20.0,13.0,2.0,58.0
bars_since_long1_entry:<=3_bars,215,0,186,215,1.0,0.0547424038201398,0.04338632375455181,0.0012224938875306846,0.2476390415331257,1.584288567348019e-08,1.482191087216536e-08,7.625968637400695e-10,3.80595611341261e-08,1.584288567348019,1.4821910872165358,0.07625968637400696,3.805956113412609,-58.991952675448466,-0.00059480051587408,3.3089926868848937e-07,2.487422372365888e-05,2.0930232558139537,2.0,1.0,3.0
bars_since_long1_entry:4_6_bars,225,0,214,225,1.0,0.08621898501863752,0.06631812296464866,0.006700506329113868,0.3343018294794614,2.33715073492906e-08,2.2591721433398253e-08,3.4584257278077946e-09,6.351376534082534e-08,2.33715073492906,2.2591721433398253,0.34584257278077946,6.351376534082533,-63.43021089312695,-0.00046429063785711995,1.4053712622275517e-06,6.259818774979919e-05,4.897777777777778,5.0,4.0,6.0
bars_since_long1_entry:7_12_bars,290,0,282,290,1.0,0.12150704477641493,0.0822458957622436,0.003693114129139886,0.8655699263024178,3.1618359276330785e-08,2.9400714410335828e-08,4.456466214347886e-09,8.335738335714538e-08,3.1618359276330783,2.9400714410335826,0.4456466214347886,8.335738335714536,-85.08055739529209,-0.00041774655720552004,2.4366069817932984e-06,6.275014830414309e-05,9.317241379310344,9.0,7.0,12.0
bars_since_long1_entry:13_24_bars,294,0,289,292,0.9931972789115646,0.17689661697615114,0.12294598090767328,-0.08576370997423627,1.2262382243459797,4.199947632326814e-08,4.0856293302479253e-08,-1.4521100964201927e-08,9.277718554455546e-08,4.199947632326815,4.085629330247926,-1.4521100964201927,9.277718554455546,-86.00479602086016,-0.00042254920888455997,3.2812432956380094e-06,7.877375631096451e-05,17.904761904761905,18.0,13.0,24.0
bars_since_long1_entry:25_48_bars,249,0,248,249,1.0,0.3117181541945071,0.2315965276833746,0.01441505837502977,1.774254850970194,6.551195226661701e-08,6.698327443867876e-08,6.648222065621611e-09,1.1809889482202178e-07,6.551195226661702,6.698327443867876,0.6648222065621612,11.809889482202177,-87.64062315217171,-0.00040523059680583996,7.108265592913491e-06,0.00016406072926803013,34.95180722891566,34.0,25.0,48.0
bars_since_long1_entry:>48_bars,105,0,105,105,1.0,0.8884500469072304,0.5525831310383028,0.0671163575042158,5.8375474050999925,9.655681427595747e-08,9.776133970104753e-08,4.019977982396454e-08,1.5655636281624844e-07,9.655681427595747,9.776133970104754,4.019977982396454,15.655636281624844,-35.23973246184553,-0.0005335541212244801,4.3655495125163614e-06,9.871451041529918e-05,62.695238095238096,62.0,49.0,98.0
