market,inst_id,source,endpoint_or_method,params,success,status_code,okx_code,row_count,response_sha256,raw_data_path,error_or_msg,fetch_timestamp_utc
ETCUSDT,ETC-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""ETC-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,328d1d9ef579c6206b38f88649da1c737575aabb1a7b6cd055937836cd5ecafa,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
ETCUSDT,ETC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""ETC"", ""period"": ""1H""}",True,200,0,720,b45e3eea02104d5f4a7c5f31154f133a60331be3b4e5aacffdad79077f61521d,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
ETCUSDT,ETC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""ETC"", ""instId"": ""ETC-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,b45e3eea02104d5f4a7c5f31154f133a60331be3b4e5aacffdad79077f61521d,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
ETHUSDT,ETH-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""ETH-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,60d0d5c8ac37decfc35131401b4fb0ba19454a73028a2ac3b837ba2356f86737,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
ETHUSDT,ETH-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""ETH"", ""period"": ""1H""}",True,200,0,720,e21bf39fe92a9c3c65d97f9bce20c60aa20c26c27cfb49dbc30d07f4dca2336f,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
ETHUSDT,ETH-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""ETH"", ""instId"": ""ETH-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,e21bf39fe92a9c3c65d97f9bce20c60aa20c26c27cfb49dbc30d07f4dca2336f,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
FILUSDT,FIL-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""FIL-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,ad5b95bac41445e644206be16a0efec09d6996a8073b1ac67a736255ac029894,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
FILUSDT,FIL-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""FIL"", ""period"": ""1H""}",True,200,0,720,04603fd049de58eff126c0eaa87f116639e7d8a20fa1f99328e4be2ecc03a33b,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
FILUSDT,FIL-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""FIL"", ""instId"": ""FIL-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,04603fd049de58eff126c0eaa87f116639e7d8a20fa1f99328e4be2ecc03a33b,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
LINKUSDT,LINK-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""LINK-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,634b6f18fed48cc0ee29fb0178d74b48313ff266cdc0a85e177a6b475aef6cb0,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
LINKUSDT,LINK-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""LINK"", ""period"": ""1H""}",True,200,0,720,63959cb42f0e37133f2204d3c350e57938eaf12d0e3a49b187c0a99ba9e3ae20,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
LINKUSDT,LINK-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""LINK"", ""instId"": ""LINK-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,63959cb42f0e37133f2204d3c350e57938eaf12d0e3a49b187c0a99ba9e3ae20,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
LTCUSDT,LTC-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""LTC-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,7a0d26ec1d627b1d231a4c1d884ba6d6d8a96711c3778d17a0508591d91e84eb,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
LTCUSDT,LTC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""LTC"", ""period"": ""1H""}",True,200,0,720,5f79df8a47ae4eb8eb1a79ebe5653a327caa82af3b50cb923d60d97dc942d6be,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
LTCUSDT,LTC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""LTC"", ""instId"": ""LTC-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,5f79df8a47ae4eb8eb1a79ebe5653a327caa82af3b50cb923d60d97dc942d6be,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
