market,okx_inst_id,ccxt_symbol_requested,timestamp,timestamp_ms,open_interest_amount,open_interest_value,base_volume,quote_volume,ccxt_symbol_returned,raw_info_json,source,fetch_timestamp_utc,history_granularity_note
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T23:00:00+00:00,1779404400000,,5708583.051,,93609.174,,"[""1779404400000"", ""5708583.051"", ""93609.174""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T00:00:00+00:00,1779408000000,,5717270.904,,169227.819,,"[""1779408000000"", ""5717270.904"", ""169227.819""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T01:00:00+00:00,1779411600000,,5718337.141,,242224.416,,"[""1779411600000"", ""5718337.141"", ""242224.416""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T02:00:00+00:00,1779415200000,,5777530.0,,195907.125,,"[""1779415200000"", ""5777530"", ""195907.125""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T03:00:00+00:00,1779418800000,,5731093.212,,165365.413,,"[""1779418800000"", ""5731093.212"", ""165365.413""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T04:00:00+00:00,1779422400000,,5871840.203,,1247791.188,,"[""1779422400000"", ""5871840.203"", ""1247791.188""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T05:00:00+00:00,1779426000000,,5862577.137,,640199.918,,"[""1779426000000"", ""5862577.137"", ""640199.918""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T06:00:00+00:00,1779429600000,,5922574.341,,785412.196,,"[""1779429600000"", ""5922574.341"", ""785412.196""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T07:00:00+00:00,1779433200000,,5925212.934,,703055.103,,"[""1779433200000"", ""5925212.934"", ""703055.103""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T08:00:00+00:00,1779436800000,,5659702.792,,1174855.643,,"[""1779436800000"", ""5659702.792"", ""1174855.643""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T09:00:00+00:00,1779440400000,,5683689.888,,504370.152,,"[""1779440400000"", ""5683689.888"", ""504370.152""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T10:00:00+00:00,1779444000000,,5647782.771,,348207.552,,"[""1779444000000"", ""5647782.771"", ""348207.552""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T11:00:00+00:00,1779447600000,,5688834.972,,405951.748,,"[""1779447600000"", ""5688834.972"", ""405951.748""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T12:00:00+00:00,1779451200000,,5707403.114,,565756.762,,"[""1779451200000"", ""5707403.114"", ""565756.762""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T13:00:00+00:00,1779454800000,,5690739.037,,715970.992,,"[""1779454800000"", ""5690739.037"", ""715970.992""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T14:00:00+00:00,1779458400000,,5711701.205,,834531.292,,"[""1779458400000"", ""5711701.205"", ""834531.292""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T15:00:00+00:00,1779462000000,,5581355.345,,763802.331,,"[""1779462000000"", ""5581355.345"", ""763802.331""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T16:00:00+00:00,1779465600000,,5635849.243,,486898.532,,"[""1779465600000"", ""5635849.243"", ""486898.532""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T17:00:00+00:00,1779469200000,,5628395.809,,270717.309,,"[""1779469200000"", ""5628395.809"", ""270717.309""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T18:00:00+00:00,1779472800000,,6057703.5,,302610.108,,"[""1779472800000"", ""6057703.5"", ""302610.108""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T19:00:00+00:00,1779476400000,,5972463.047,,569029.726,,"[""1779476400000"", ""5972463.047"", ""569029.726""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T20:00:00+00:00,1779480000000,,5923826.626,,634029.104,,"[""1779480000000"", ""5923826.626"", ""634029.104""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T21:00:00+00:00,1779483600000,,5914748.5,,325321.243,,"[""1779483600000"", ""5914748.5"", ""325321.243""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T22:00:00+00:00,1779487200000,,5887425.641,,307451.803,,"[""1779487200000"", ""5887425.641"", ""307451.803""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-22T23:00:00+00:00,1779490800000,,5880465.397,,110631.227,,"[""1779490800000"", ""5880465.397"", ""110631.227""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-23T00:00:00+00:00,1779494400000,,5920026.324,,359031.936,,"[""1779494400000"", ""5920026.324"", ""359031.936""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-23T01:00:00+00:00,1779498000000,,5961589.819,,348065.988,,"[""1779498000000"", ""5961589.819"", ""348065.988""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-23T02:00:00+00:00,1779501600000,,6079431.44,,510234.116,,"[""1779501600000"", ""6079431.44"", ""510234.116""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-23T03:00:00+00:00,1779505200000,,6119432.585,,295760.421,,"[""1779505200000"", ""6119432.585"", ""295760.421""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-23T04:00:00+00:00,1779508800000,,6121844.354,,328045.717,,"[""1779508800000"", ""6121844.354"", ""328045.717""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
