market,okx_inst_id,ccxt_symbol,timestamp,timestamp_ms,funding_rate,realized_rate,formula_type,method,inst_type,source,fetch_timestamp_utc
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-11T00:00:00+00:00,1778457600000,1.81843520492e-05,0.0000181843520492,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-11T08:00:00+00:00,1778486400000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-11T16:00:00+00:00,1778515200000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-12T00:00:00+00:00,1778544000000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-12T08:00:00+00:00,1778572800000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-12T16:00:00+00:00,1778601600000,-9.40866336912e-05,-0.0000940866336912,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-13T00:00:00+00:00,1778630400000,-0.0001100204997607,-0.0001100204997607,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-13T08:00:00+00:00,1778659200000,-7.83460914507e-05,-0.0000783460914507,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-13T16:00:00+00:00,1778688000000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-14T00:00:00+00:00,1778716800000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-14T08:00:00+00:00,1778745600000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-14T16:00:00+00:00,1778774400000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-15T00:00:00+00:00,1778803200000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-15T08:00:00+00:00,1778832000000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-15T16:00:00+00:00,1778860800000,6.08931044611e-05,0.0000608931044611,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-16T00:00:00+00:00,1778889600000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-16T08:00:00+00:00,1778918400000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
